seq_name	chromosome_score	plasmid_score	virus_score
GCA_001213305.1#1#CSUC01000001	0.4181	0.5471	0.0348
GCA_001213305.1#1#CSUC01000002	0.4087	0.5364	0.0549
GCA_001213305.1#1#CSUC01000003	0.3390	0.5797	0.0813
GCA_001213305.1#1#CSUC01000004	0.4340	0.5225	0.0435
GCA_001213305.1#1#CSUC01000005	0.4027	0.5792	0.0181
GCA_001213305.1#1#CSUC01000006	0.3294	0.1608	0.5098
GCA_001213305.1#1#CSUC01000007	0.3987	0.2315	0.3699
GCA_001213305.1#1#CSUC01000008	0.2484	0.2942	0.4574
GCA_001213305.1#1#CSUC01000009	0.5363	0.2065	0.2571
GCA_001213305.1#1#CSUC01000010	0.3996	0.0732	0.5272
GCA_001213305.1#1#CSUC01000011	0.1687	0.1929	0.6384
GCA_001213305.1#1#CSUC01000012	0.3585	0.0757	0.5658
GCA_001213305.1#1#CSUC01000013	0.5057	0.0760	0.4183
