cohort_order	accession	annotation_status	failure_reason	storage_release_id	storage_root	row_sha256
8	GCF_000167895.3	QUARANTINED_SOURCE_GFF_NO_ALIAS_VIEW	out-of-range GFF coordinate: GCF_000167895.3:622:90076-90333	canonical-cohort-010-v1-e71484de9994fc28	/home/erikg/phind-data/ecoli26k/v1/releases/run-10-assembly-acquisition/canonical-cohort-010-v1-e71484de9994fc28	c293e6317bdc3c9f618398aea10c8374ae813732e7e74c7b21990029f9e286d4
23	GCF_005885955.1	QUARANTINED_SOURCE_GFF_NO_ALIAS_VIEW	out-of-range GFF coordinate: GCF_005885955.1:11359:93426-102935	canonical-cohort-100-v1-6be4c0dde65f31d0	/home/erikg/phind-data/ecoli26k/v1/releases/prepare-canonical-cohort-100/canonical-cohort-100-v1-6be4c0dde65f31d0	2b7ef444ec3be226867e08dae069b46ec54f83724e2bdbfa21bdbdf8763c4d95
68	GCF_001617565.1	QUARANTINED_SOURCE_GFF_NO_ALIAS_VIEW	out-of-range GFF coordinate: GCF_001617565.1:10490:82553-82984	canonical-cohort-100-v1-6be4c0dde65f31d0	/home/erikg/phind-data/ecoli26k/v1/releases/prepare-canonical-cohort-100/canonical-cohort-100-v1-6be4c0dde65f31d0	11f2d5c4cb71b16e96d9633eb74782e96c58c7a8bdfbb6333f4cff2a8903b922
75	GCF_001577325.1	QUARANTINED_SOURCE_GFF_NO_ALIAS_VIEW	out-of-range GFF coordinate: GCF_001577325.1:10312:113369-114226	canonical-cohort-100-v1-6be4c0dde65f31d0	/home/erikg/phind-data/ecoli26k/v1/releases/prepare-canonical-cohort-100/canonical-cohort-100-v1-6be4c0dde65f31d0	0c594da1ed288f276eb684187f1a2c98ca293db7ec38a0c427c95a137c93abeb
102	GCF_003020885.1	QUARANTINED_SOURCE_GFF_NO_ALIAS_VIEW	out-of-range GFF coordinate: GCF_003020885.1:10525:133792-134649	canonical-cohort-250-v1-a6184d7d6ee08bda	/home/erikg/phind-data/ecoli26k/v1/releases/prepare-canonical-cohort-250/canonical-cohort-250-v1-a6184d7d6ee08bda	9eca98da7d5b970d31eb843f5e67e30f357ecaeb20d8c2f0dd4f4e4d3989cced
124	GCF_009931235.1	QUARANTINED_SOURCE_GFF_NO_ALIAS_VIEW	out-of-range GFF coordinate: GCF_009931235.1:11527:92503-95199	canonical-cohort-250-v1-a6184d7d6ee08bda	/home/erikg/phind-data/ecoli26k/v1/releases/prepare-canonical-cohort-250/canonical-cohort-250-v1-a6184d7d6ee08bda	b8d7e3434a3ed2b01a50ca2cef4fc9774e6e06ab239bf1243db66d2fbc7a74ed
137	GCF_016404405.2	QUARANTINED_SOURCE_GFF_NO_ALIAS_VIEW	out-of-range GFF coordinate: GCF_016404405.2:9880:4966297-4966572	canonical-cohort-250-v1-a6184d7d6ee08bda	/home/erikg/phind-data/ecoli26k/v1/releases/prepare-canonical-cohort-250/canonical-cohort-250-v1-a6184d7d6ee08bda	96d31635adfecc77a51e22e5818fe42a47520ead271b13ade6c266b64611d4da
153	GCF_011404355.1	QUARANTINED_SOURCE_GFF_NO_ALIAS_VIEW	out-of-range GFF coordinate: GCF_011404355.1:9329:4711306-4711581	canonical-cohort-250-v1-a6184d7d6ee08bda	/home/erikg/phind-data/ecoli26k/v1/releases/prepare-canonical-cohort-250/canonical-cohort-250-v1-a6184d7d6ee08bda	2175a9ef26c20ed1e77e40e69d0b8b3fa1754dd734ca9b01d6ba1c0d9becb5e8
168	GCF_004010615.1	QUARANTINED_SOURCE_GFF_NO_ALIAS_VIEW	out-of-range GFF coordinate: GCF_004010615.1:11017:5428441-5428902	canonical-cohort-250-v1-a6184d7d6ee08bda	/home/erikg/phind-data/ecoli26k/v1/releases/prepare-canonical-cohort-250/canonical-cohort-250-v1-a6184d7d6ee08bda	5d6630f3e46872a244402db0107262fd3229e9037b266726e8d147a4224e6bd1
172	GCF_003956205.1	QUARANTINED_SOURCE_GFF_NO_ALIAS_VIEW	out-of-range GFF coordinate: GCF_003956205.1:10181:5096684-5096914	canonical-cohort-250-v1-a6184d7d6ee08bda	/home/erikg/phind-data/ecoli26k/v1/releases/prepare-canonical-cohort-250/canonical-cohort-250-v1-a6184d7d6ee08bda	0bf3b08cefdd5179f2c225a45ee128fabe217ad5cb3639d8047bf667526687f0
173	GCF_014169035.1	QUARANTINED_SOURCE_GFF_NO_ALIAS_VIEW	out-of-range GFF coordinate: GCF_014169035.1:10238:121210-121329	canonical-cohort-250-v1-a6184d7d6ee08bda	/home/erikg/phind-data/ecoli26k/v1/releases/prepare-canonical-cohort-250/canonical-cohort-250-v1-a6184d7d6ee08bda	2f8042201eb57b5fa0957585a9b023af4db9f1214b4baa62de4cb969e11c08cf
188	GCF_011045875.1	QUARANTINED_SOURCE_GFF_NO_ALIAS_VIEW	out-of-range GFF coordinate: GCF_011045875.1:9294:4658459-4658734	canonical-cohort-250-v1-a6184d7d6ee08bda	/home/erikg/phind-data/ecoli26k/v1/releases/prepare-canonical-cohort-250/canonical-cohort-250-v1-a6184d7d6ee08bda	06cc2065c7441802afe958b68e0c04e35feeb7502724130970942cb94f0b3fcc
224	GCF_001679985.1	QUARANTINED_SOURCE_GFF_NO_ALIAS_VIEW	out-of-range GFF coordinate: GCF_001679985.1:9910:5005475-5006516	canonical-cohort-250-v1-a6184d7d6ee08bda	/home/erikg/phind-data/ecoli26k/v1/releases/prepare-canonical-cohort-250/canonical-cohort-250-v1-a6184d7d6ee08bda	845a4439ff17045bff99e0fb51f58fb34fef449077f13348d459c8bc610242c5
252	GCF_016903995.1	QUARANTINED_SOURCE_GFF_NO_ALIAS_VIEW	out-of-range GFF coordinate: GCF_016903995.1:9577:109838-110535	SELF	.	33bca9ce52c4f9a0a5673b51c81490022954782cfb93f87aff24c43d4d3bbc59
