seq_name	chromosome_score	plasmid_score	virus_score
GCA_000239035.2#1#AHAS01000022	0.4818	0.2296	0.2886
GCA_000239035.2#1#AHAS01000021	0.5950	0.1716	0.2334
GCA_000239035.2#1#AHAS01000020	0.9908	0.0085	0.0008
GCA_000239035.2#1#AHAS01000019	0.9834	0.0157	0.0009
GCA_000239035.2#1#AHAS01000018	0.4457	0.5506	0.0036
GCA_000239035.2#1#AHAS01000017	0.0018	0.0013	0.9969
GCA_000239035.2#1#AHAS01000016	0.9909	0.0086	0.0005
GCA_000239035.2#1#AHAS01000015	0.9951	0.0044	0.0005
GCA_000239035.2#1#AHAS01000014	0.9897	0.0096	0.0007
GCA_000239035.2#1#AHAS01000013	0.9942	0.0052	0.0006
GCA_000239035.2#1#AHAS01000012	0.0448	0.9540	0.0012
GCA_000239035.2#1#AHAS01000011	0.9864	0.0128	0.0007
GCA_000239035.2#1#AHAS01000010	0.9834	0.0158	0.0008
GCA_000239035.2#1#AHAS01000009	0.0716	0.7445	0.1839
GCA_000239035.2#1#AHAS01000008	0.9775	0.0216	0.0008
GCA_000239035.2#1#AHAS01000007	0.9957	0.0037	0.0006
GCA_000239035.2#1#AHAS01000006	0.9772	0.0219	0.0008
GCA_000239035.2#1#AHAS01000005	0.3451	0.6451	0.0098
GCA_000239035.2#1#AHAS01000004	0.9711	0.0280	0.0009
GCA_000239035.2#1#AHAS01000003	0.4244	0.5737	0.0020
GCA_000239035.2#1#AHAS01000002	0.9911	0.0072	0.0017
GCA_000239035.2#1#AHAS01000001	0.9495	0.0495	0.0010
