GCA_000069185.1#1#CU458896_1 # 1 # 1476 # 1 # ID=1_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;genetic_code=11;gc_cont=0.617	GENOMAD.138347.VC	5.494E-04	45	0
GCA_000069185.1#1#CU458896_33 # 31940 # 33202 # -1 # ID=1_33;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=3-4bp;genetic_code=11;gc_cont=0.669	GENOMAD.134115.CP	1.287E-14	79	0
GCA_000069185.1#1#CU458896_65 # 65270 # 65908 # 1 # ID=1_65;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;genetic_code=11;gc_cont=0.681	GENOMAD.124478.CP	2.951E-12	68	0
GCA_000069185.1#1#CU458896_129 # 130469 # 131155 # 1 # ID=1_129;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;genetic_code=11;gc_cont=0.656	GENOMAD.151385.CP	1.935E-12	69	0
GCA_000069185.1#1#CU458896_161 # 159387 # 160193 # 1 # ID=1_161;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;genetic_code=11;gc_cont=0.664	GENOMAD.127361.CP	3.035E-08	57	0
GCA_000069185.1#1#CU458896_257 # 266588 # 267136 # 1 # ID=1_257;partial=00;start_type=GTG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;genetic_code=11;gc_cont=0.654	GENOMAD.171228.CP	7.797E-51	179	0
GCA_000069185.1#1#CU458896_289 # 301400 # 302359 # 1 # ID=1_289;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;genetic_code=11;gc_cont=0.640	GENOMAD.151887.CP	1.013E-07	56	0
GCA_000069185.1#1#CU458896_2913 # 3005447 # 3006322 # -1 # ID=1_2913;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;genetic_code=11;gc_cont=0.599	GENOMAD.169560.CP	2.256E-10	64	0
GCA_000069185.1#1#CU458896_2945 # 3040760 # 3042427 # -1 # ID=1_2945;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;genetic_code=11;gc_cont=0.588	GENOMAD.225668.VP	6.388E-61	224	1246
GCA_000069185.1#1#CU458896_2977 # 3070741 # 3071223 # 1 # ID=1_2977;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;genetic_code=11;gc_cont=0.665	GENOMAD.192505.PC	3.979E-48	170	0
GCA_000069185.1#1#CU458896_3009 # 3097843 # 3098511 # -1 # ID=1_3009;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;genetic_code=11;gc_cont=0.692	GENOMAD.152388.CP	7.833E-11	64	0
GCA_000069185.1#1#CU458896_3041 # 3124519 # 3125022 # -1 # ID=1_3041;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;genetic_code=11;gc_cont=0.633	GENOMAD.214260.CP	7.991E-35	132	0
GCA_000069185.1#1#CU458896_3105 # 3182145 # 3183341 # -1 # ID=1_3105;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;genetic_code=11;gc_cont=0.657	GENOMAD.126251.CP	3.884E-36	145	0
GCA_000069185.1#1#CU458896_3137 # 3221487 # 3222608 # -1 # ID=1_3137;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;genetic_code=11;gc_cont=0.660	GENOMAD.162560.VC	6.986E-08	57	1246
GCA_000069185.1#1#CU458896_3169 # 3249871 # 3250764 # -1 # ID=1_3169;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;genetic_code=11;gc_cont=0.630	GENOMAD.124080.CP	2.794E-05	48	0
GCA_000069185.1#1#CU458896_4742 # 4895350 # 4896141 # 1 # ID=1_4742;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;genetic_code=11;gc_cont=0.678	GENOMAD.211754.CP	1.895E-38	147	0
GCA_000069185.1#1#CU458896_4774 # 4929461 # 4931419 # 1 # ID=1_4774;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;genetic_code=11;gc_cont=0.613	GENOMAD.211817.PC	7.228E-07	55	0
GCA_000069185.1#1#CU458896_4870 # 5020591 # 5021253 # -1 # ID=1_4870;partial=00;start_type=GTG;rbs_motif=GGxGG;rbs_spacer=5-10bp;genetic_code=11;gc_cont=0.635	GENOMAD.136902.CP	1.488E-17	84	0
GCA_000069185.1#1#CU458745_24 # 19820 # 20047 # 1 # ID=2_24;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;genetic_code=11;gc_cont=0.680	GENOMAD.036634.PP	1.657E-41	146	0
GCA_000069185.1#1#CU458896_1607 # 1660155 # 1660523 # -1 # ID=1_1607;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;genetic_code=11;gc_cont=0.648	GENOMAD.208115.PC	1.502E-07	51	0
