seq_name	chromosome_score	plasmid_score	virus_score
GCA_000239035.2#1#AHAS01000022	0.2793	0.4643	0.2564
GCA_000239035.2#1#AHAS01000021	0.6581	0.2338	0.1080
GCA_000239035.2#1#AHAS01000020	0.7286	0.2124	0.0590
GCA_000239035.2#1#AHAS01000019	0.7046	0.2380	0.0574
GCA_000239035.2#1#AHAS01000018	0.1172	0.8534	0.0293
GCA_000239035.2#1#AHAS01000017	0.0091	0.0222	0.9687
GCA_000239035.2#1#AHAS01000016	0.7660	0.1824	0.0516
GCA_000239035.2#1#AHAS01000015	0.8032	0.1519	0.0449
GCA_000239035.2#1#AHAS01000014	0.8200	0.1378	0.0422
GCA_000239035.2#1#AHAS01000013	0.7536	0.1935	0.0529
GCA_000239035.2#1#AHAS01000012	0.0079	0.9848	0.0073
GCA_000239035.2#1#AHAS01000011	0.7631	0.1870	0.0498
GCA_000239035.2#1#AHAS01000010	0.7321	0.2124	0.0556
GCA_000239035.2#1#AHAS01000009	0.0175	0.9616	0.0209
GCA_000239035.2#1#AHAS01000008	0.7775	0.1730	0.0495
GCA_000239035.2#1#AHAS01000007	0.7782	0.1731	0.0487
GCA_000239035.2#1#AHAS01000006	0.7871	0.1680	0.0448
GCA_000239035.2#1#AHAS01000005	0.0553	0.9131	0.0316
GCA_000239035.2#1#AHAS01000004	0.7211	0.2230	0.0559
GCA_000239035.2#1#AHAS01000003	0.0959	0.8722	0.0318
GCA_000239035.2#1#AHAS01000002	0.6817	0.2299	0.0883
GCA_000239035.2#1#AHAS01000001	0.8286	0.1365	0.0349
