GCA_000007865.1#1#AE016958_tRNA1_SeC	391092	391186
GCA_000007865.1#1#AE016958_tRNA2_Pro	413026	413100
GCA_000007865.1#1#AE016958_tRNA3_Thr	616291	616363
GCA_000007865.1#1#AE016958_tRNA4_Lys	686917	686992
GCA_000007865.1#1#AE016958_tRNA5_Arg	889495	889568
GCA_000007865.1#1#AE016958_tRNA6_Gln	1023047	1023119
GCA_000007865.1#1#AE016958_tRNA7_Leu	1410029	1410105
GCA_000007865.1#1#AE016958_tRNA8_Val	2196282	2196355
GCA_000007865.1#1#AE016958_tRNA9_Met	2305775	2305849
GCA_000007865.1#1#AE016958_tRNA10_Asn	2358809	2358882
GCA_000007865.1#1#AE016958_tRNA11_Pro	2552702	2552778
GCA_000007865.1#1#AE016958_tRNA12_Leu	2717334	2717419
GCA_000007865.1#1#AE016958_tRNA13_Val	3081288	3081361
GCA_000007865.1#1#AE016958_tRNA14_Glu	3368697	3368770
GCA_000007865.1#1#AE016958_tRNA15_Gln	3368853	3368925
GCA_000007865.1#1#AE016958_tRNA16_Ala	3499293	3499366
GCA_000007865.1#1#AE016958_tRNA17_Met	3654618	3654694
GCA_000007865.1#1#AE016958_tRNA18_Gly	4267862	4267935
