seq_name	chromosome_score	plasmid_score	virus_score
GCA_000239035.2#1#AHAS01000022	0.3988	0.3660	0.2351
GCA_000239035.2#1#AHAS01000021	0.7350	0.2443	0.0208
GCA_000239035.2#1#AHAS01000020	0.3752	0.5801	0.0447
GCA_000239035.2#1#AHAS01000019	0.3888	0.5929	0.0182
GCA_000239035.2#1#AHAS01000018	0.4085	0.5451	0.0464
GCA_000239035.2#1#AHAS01000017	0.0502	0.3975	0.5523
GCA_000239035.2#1#AHAS01000016	0.4155	0.5536	0.0309
GCA_000239035.2#1#AHAS01000015	0.4455	0.5406	0.0140
GCA_000239035.2#1#AHAS01000014	0.4609	0.5191	0.0200
GCA_000239035.2#1#AHAS01000013	0.4173	0.5513	0.0314
GCA_000239035.2#1#AHAS01000012	0.3204	0.6354	0.0442
GCA_000239035.2#1#AHAS01000011	0.4454	0.5272	0.0274
GCA_000239035.2#1#AHAS01000010	0.3938	0.5801	0.0262
GCA_000239035.2#1#AHAS01000009	0.3721	0.4240	0.2040
GCA_000239035.2#1#AHAS01000008	0.4373	0.5186	0.0441
GCA_000239035.2#1#AHAS01000007	0.4287	0.5551	0.0161
GCA_000239035.2#1#AHAS01000006	0.4766	0.5039	0.0195
GCA_000239035.2#1#AHAS01000005	0.3221	0.5933	0.0846
GCA_000239035.2#1#AHAS01000004	0.4104	0.5516	0.0380
GCA_000239035.2#1#AHAS01000003	0.3714	0.5399	0.0886
GCA_000239035.2#1#AHAS01000002	0.3308	0.4479	0.2212
GCA_000239035.2#1#AHAS01000001	0.5754	0.4145	0.0101
