seq_name	n_genes	n_uscg	n_plasmid_hallmarks	n_virus_hallmarks	genetic_code	strand_switch_rate	coding_density	no_rbs_freq	sd_bacteroidetes_rbs_freq	sd_canonical_rbs_freq	tatata_rbs_freq	cc_marker_freq	cp_marker_freq	cv_marker_freq	pc_marker_freq	pp_marker_freq	pv_marker_freq	vc_marker_freq	vp_marker_freq	vv_marker_freq	c_marker_freq	p_marker_freq	v_marker_freq	median_c_spm	median_p_spm	median_v_spm	v_vs_c_score_logistic	v_vs_p_score_logistic	p_vs_c_score_logistic	gv_marker_freq	marker_enrichment_c	marker_enrichment_p	marker_enrichment_v
GCA_001583545.1#1#LNAV01000170	17	0	0	0	11	0.3750	0.9454	0.4706	0.0000	0.5294	0.0000	0.0588	0.5294	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5882	0.0000	0.0000	0.7746	0.6324	0.0000	0.0018	0.0241	0.0685	0.0000	5.2202	-5.2202	-28.6229
GCA_001583545.1#1#LNAV01000102	17	0	0	0	11	0.4375	0.8820	0.2353	0.0000	0.7647	0.0000	0.0000	0.0000	0.0000	0.0000	0.0588	0.0000	0.0588	0.0000	0.0000	0.0000	0.0588	0.0588	0.2075	0.4981	0.4723	0.6333	0.4830	0.6489	0.0000	-2.8009	-0.9530	-0.7709
GCA_001583545.1#1#LNAV01000047	115	0	0	0	11	0.2807	0.9171	0.2957	0.0000	0.7043	0.0000	0.0783	0.3391	0.0087	0.0696	0.0087	0.0087	0.0348	0.0087	0.0000	0.4261	0.0870	0.0435	0.8156	0.5610	0.0000	0.0000	0.0000	0.0000	0.0000	18.8588	-41.0095	-153.3270
GCA_001583545.1#1#LNAV01000168	2	0	0	0	11	1.0000	0.7398	1.0000	0.0000	0.0000	0.0000	0.0000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5000	0.0000	0.0000	0.6005	0.7996	0.0000	0.3985	0.3515	0.5500	0.0000	-0.4016	0.4016	-3.0556
GCA_001583545.1#1#LNAV01000056	3	0	0	0	11	0.5000	0.7290	0.3333	0.0000	0.6667	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000
GCA_001583545.1#1#LNAV01000042	7	0	0	0	11	0.3333	0.7729	0.1429	0.0000	0.8571	0.0000	0.1429	0.1429	0.0000	0.0000	0.4286	0.0000	0.0000	0.0000	0.0000	0.2857	0.4286	0.0000	0.0873	0.9962	0.0000	0.1958	0.0403	0.8527	0.0000	-3.5126	3.5126	-10.6450
GCA_001583545.1#1#LNAV01000118	88	0	0	0	11	0.4023	0.9041	0.2045	0.0000	0.7955	0.0000	0.0227	0.3864	0.0114	0.0568	0.0000	0.0227	0.0000	0.0000	0.0000	0.4205	0.0795	0.0000	0.6686	0.7436	0.0000	0.0000	0.0000	0.0824	0.0000	1.7809	-7.3348	-123.9745
GCA_001583545.1#1#LNAV01000095	3	0	0	0	11	0.5000	0.6668	0.3333	0.0000	0.6667	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000
GCA_001583545.1#1#LNAV01000022	1	0	0	0	11	0.0000	0.9980	1.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.6701	0.7423	0.0000	0.3829	0.3658	0.5183	0.0000	-0.1463	0.1463	-3.1058
GCA_001583545.1#1#LNAV01000091	105	0	0	2	11	0.3077	0.9510	0.2952	0.0000	0.7048	0.0000	0.0476	0.3429	0.0000	0.0286	0.0286	0.0000	0.0095	0.0095	0.0476	0.3905	0.0571	0.0667	0.7588	0.6046	0.0000	0.0000	0.0000	0.0008	0.0000	2.8878	-26.8441	-120.5849
GCA_001583545.1#1#LNAV01000011	87	0	0	0	11	0.3140	0.9456	0.3333	0.0000	0.6667	0.0000	0.0460	0.2989	0.0000	0.0690	0.0000	0.0000	0.0000	0.0000	0.0115	0.3448	0.0690	0.0115	0.7650	0.6250	0.0000	0.0000	0.0000	0.0128	0.0000	6.9681	-10.4342	-101.0052
GCA_001583545.1#1#LNAV01000072	2	0	0	0	11	1.0000	0.9657	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5000	0.0000	0.0000	0.0000	0.0000	0.5000	0.0000	0.0000	0.9030	0.4296	0.5667	0.3858	0.6756	0.0000	-2.7909	0.9304	-0.9304
GCA_001583545.1#1#LNAV01000160	3	0	0	0	11	0.0000	0.9277	0.3333	0.0000	0.6667	0.0000	0.0000	0.0000	0.0000	0.0000	0.3333	0.6667	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.9280	0.3726	0.6211	0.1343	0.9135	0.0000	-7.1807	3.7266	-3.7266
GCA_001583545.1#1#LNAV01000092	68	1	0	1	11	0.3433	0.8947	0.3235	0.0000	0.6765	0.0000	0.0294	0.4118	0.0147	0.0735	0.0147	0.0147	0.0294	0.0000	0.0147	0.4559	0.1029	0.0441	0.7461	0.6497	0.0000	0.0000	0.0000	0.0127	0.0000	1.9220	-17.0760	-100.1714
GCA_001583545.1#1#LNAV01000005	1	0	0	0	11	0.0000	0.9965	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000
GCA_001583545.1#1#LNAV01000019	3	0	0	0	11	1.0000	0.9022	0.3333	0.0000	0.6667	0.0000	0.0000	0.3333	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3333	0.0000	0.0000	0.6489	0.7609	0.0000	0.3878	0.3612	0.5283	0.0000	-0.2268	0.2268	-3.0951
GCA_001583545.1#1#LNAV01000147	51	0	0	0	11	0.2000	0.9013	0.1765	0.0000	0.8235	0.0000	0.0784	0.2941	0.0000	0.0392	0.0196	0.0784	0.0000	0.0000	0.0588	0.3725	0.1373	0.0588	0.6678	0.6710	0.0000	0.0001	0.0002	0.4214	0.0000	-9.8163	-7.9355	-58.6575
GCA_001583545.1#1#LNAV01000133	57	1	0	0	11	0.2321	0.8467	0.2105	0.0000	0.7895	0.0000	0.1579	0.1404	0.0526	0.0526	0.0000	0.0000	0.0351	0.0000	0.0702	0.3509	0.0526	0.1053	0.8523	0.0000	0.0000	0.0000	0.5337	0.0000	0.0000	11.2054	-37.2955	-42.1397
GCA_001583545.1#1#LNAV01000113	27	0	1	1	11	0.2308	0.8963	0.3333	0.0000	0.6667	0.0000	0.0370	0.1481	0.0000	0.2222	0.0370	0.0370	0.0000	0.0741	0.0000	0.1852	0.2963	0.0741	0.3324	0.8955	0.0000	0.0856	0.0011	0.9886	0.0000	-14.6754	5.2944	-29.5810
