GCA_001583545.1#1#LNAV01000011_tRNA1_Ser	3193	3282
GCA_001583545.1#1#LNAV01000011_tRNA2_Arg	25137	25210
GCA_001583545.1#1#LNAV01000011_tRNA3_Ser	25245	25334
GCA_001583545.1#1#LNAV01000011_tRNA4_Ser	31123	31211
GCA_001583545.1#1#LNAV01000071_tRNA1_Gly	1302	1373
GCA_001583545.1#1#LNAV01000145_tRNA1_Arg	6364	6439
GCA_001583545.1#1#LNAV01000088_tRNA1_Met	3436	3510
GCA_001583545.1#1#LNAV01000023_tRNA1_Phe	17431	17507
GCA_001583545.1#1#LNAV01000023_tRNA2_Asp	17534	17610
GCA_001583545.1#1#LNAV01000023_tRNA3_Glu	17639	17712
GCA_001583545.1#1#LNAV01000060_tRNA1_Gly	13172	13245
GCA_001583545.1#1#LNAV01000048_tRNA1_Pro	112805	112881
GCA_001583545.1#1#LNAV01000014_tRNA1_Ala	115340	115414
GCA_001583545.1#1#LNAV01000003_tRNA1_SeC	22763	22857
GCA_001583545.1#1#LNAV01000003_tRNA2_Pro	42545	42619
GCA_001583545.1#1#LNAV01000082_tRNA1_Glu	28897	28970
GCA_001583545.1#1#LNAV01000082_tRNA2_Gln	29053	29125
GCA_001583545.1#1#LNAV01000031_tRNA1_Leu	162084	162169
GCA_001583545.1#1#LNAV01000002_tRNA1_Asn	9160	9233
GCA_001583545.1#1#LNAV01000027_tRNA1_Leu	10856	10931
GCA_001583545.1#1#LNAV01000027_tRNA2_Ala	89599	89672
