cohort_order	rung_n	assembly_id	exact_assembly_accession_version	input_line_number	input_occurrence_id	resolution_status	assembly_status	selection_stratum	stage_b_order	random_key	inclusion_probability	inference_weight	engineering_control_membership	collection_row_sha256	row_sha256
1	500	asm-v1-0ff7aa363314edb290d72eab	GCF_000005845.2	1	occ-v1-407a3ae4947fad192710d6e6	EXACT_VERSION_RESOLVED	current	stage_b_certainty	1	STAGE_B_CERTAINTY	1/1	1/1	accession_exact_revision_ambiguity,assembly_contiguity_single_or_minimum,assembly_size_minimum,prophage_interval_bounded_sentinel_scope,source_contig_role	3e246273a2566fc0cd1954406fee848dad1abd2cc7170d449119f206fc4ad833	533c12f206ff6fa6cce13c487f4a884109d248cc8b9bdd5e90257d6e5fefb3a0
2	500	asm-v1-59248433db4b9fdb21544d3a	GCF_000812325.1	2609	occ-v1-1e689503b0ebab065cf5befe	EXACT_VERSION_RESOLVED	current	stage_b_certainty	2	STAGE_B_CERTAINTY	1/1	1/1	prophage_interval_bounded_sentinel_scope,source_contig_role	e50806635f89f61ee4da59669ac4a9738f87826cc3cb76a3bfce6255edbd3761	151148b62d3bf1827d351458a8bef9fcd7c90455b87a1c9d4c3e50613ea9398a
3	500	asm-v1-41a502eb976b3e61574ad8c6	GCF_002302315.1	6520	occ-v1-b85a853ae914b114e287ece3	EXACT_VERSION_RESOLVED	current	stage_b_certainty	3	STAGE_B_CERTAINTY	1/1	1/1	prophage_interval_bounded_sentinel_scope	bae0b9cf8be0452ee9494556284abe92a8f4b5731074741419ae5907daa353ab	0cf12950baafa828d22771cfb1917ef9d9233c2300e8f94d3ee36d0105395cf5
4	500	asm-v1-f82a0d4920abbc2d92dcaada	GCF_004664255.1	13039	occ-v1-323585934c2f7be78c5a370d	EXACT_VERSION_RESOLVED	current	stage_b_certainty	4	STAGE_B_CERTAINTY	1/1	1/1	prophage_interval_bounded_sentinel_scope	9dfa087e927128511bc0e55717ac36537799e381221b133c25927c34981e6914	2f7a3a46dbe0c284b18ae64422bcd86b8005f0513e58e24fda3023ed88f56e9b
5	500	asm-v1-7d223c403273bacb796a6439	GCF_015644385.1	19558	occ-v1-b7a5d14de386c381198be442	EXACT_VERSION_RESOLVED	current	stage_b_certainty	5	STAGE_B_CERTAINTY	1/1	1/1	prophage_interval_bounded_sentinel_scope	1723803ae21f96d18ddda809d033d8e7374a3c5de88be2d624d62d58dd90f9cf	1f8885feec266d39273d2c853e21555f1f812de885ca43f4e8a57f69dba2f157
6	500	asm-v1-7f371c333ee496e64e13e7df	GCF_020829045.1	23469	occ-v1-5b60784ab03121fe1814c726	EXACT_VERSION_RESOLVED	current	stage_b_certainty	6	STAGE_B_CERTAINTY	1/1	1/1	prophage_interval_bounded_sentinel_scope	4a0a479f7a780e82b3b72a3f421aee26085976561ed3dd6ac343c6561f5bf056	13b04ae57449fc366f50338ecfb94787bf24ec8e66e060fa5f9cf117aea252d1
7	500	asm-v1-f12f2846b4339fa21373d4d3	GCF_921380995.1	26077	occ-v1-dd3066d7889d096688487ef9	EXACT_VERSION_RESOLVED	current	stage_b_certainty	7	STAGE_B_CERTAINTY	1/1	1/1	prophage_interval_bounded_sentinel_scope	b9e8dc3f20d9f5349cde4c09a90df32429c74f3b08a2387336441f158e9e902b	352d298b297904fd1e6eef110efbe93cf181ee38bf51b80c24fc63f2889263f7
8	500	asm-v1-2509fb2e423fed91316b5243	GCF_000167895.3	80	occ-v1-b391fbe177a99da3a58b5152	EXACT_VERSION_VALID_METADATA_UNAVAILABLE	METADATA_UNAVAILABLE	stage_b_certainty	8	STAGE_B_CERTAINTY	1/1	1/1	accession_exact_revision_ambiguity,assembly_contiguity_maximum,assembly_size_maximum,prophage_interval_bounded_sentinel_scope	839c210463df3c723e5e5f9c74168507ad952f6f4758fccf2cf4a877cb2bd285	38ffffe77f218f02dc7a991121ef1fa3cff480ebd09bc633b5858e10593973cc
9	500	asm-v1-f932ca427ea3912c33759383	GCF_001881595.4	4531	occ-v1-bf5407c5824cb46f9619b1cb	EXACT_VERSION_RESOLVED	current	stage_b_certainty	9	STAGE_B_CERTAINTY	1/1	1/1	accession_exact_revision_ambiguity,prophage_interval_bounded_sentinel_scope	c73d392ca0003c3909cd829c8ae9f0b586962c10a352aac6f0f4b643f593891f	540b564f29f173d3431187986ca2b33c74324e0045ff8286c2d50e1e84b4b0de
10	500	asm-v1-02150e6b828e27945ab71fa9	GCF_000498835.2	1506	occ-v1-cd6775a87ea5decc4d7ddde8	EXACT_VERSION_RESOLVED	current	stage_b_certainty	10	STAGE_B_CERTAINTY	1/1	1/1	accession_exact_revision_ambiguity,prophage_interval_bounded_sentinel_scope	1edbcbb286f667684caa6e72c8a43265243a29cbec56c9863869b0bc513773e5	b3be74db72e8d46782f5acc7db168db9c177a6820064ece1955d3147e5f3e285
11	500	asm-v1-32657c3828727c905b63ff98	GCF_015548345.1	19468	occ-v1-d0c9aa25085e954fe0b4e5d5	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	0000c1a73e6d1d3dea19b9241476283348897c7852eadc430b7c2e5288e29173	490/25353	25353/490	.	c7ca5bff242aa9842a61d09ce6892794e4e80ce9922268b224f83b2e672b7ece	dd62624f1d8a94b27a2706153b798727f561b7fbd13d4cc66ebeda12f1c99c68
12	500	asm-v1-4ece359b58a18776b323b359	GCF_019926545.1	22597	occ-v1-b42edf0b36328f865ffde44a	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	0000deb14c5ec29607387a5b389b3a9408062b9d9d0fa1a418621a2acefd582b	490/25353	25353/490	.	6e540f4c6503eb493655cf220c6e624bacd625a71d9cff1d64006a88b83d8318	e27bbba22ef5169ae44d753f054e1d7143aeb4c68f815e7cc5d9d70166ce6c24
13	500	asm-v1-3747cc3492718981db97affc	GCF_001614385.1	4013	occ-v1-12e2151873e26c89fdcffaa0	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	0000f9a5c830842f635152cbf40e8017428cda7479b2230fb56ae8204c5e1a14	490/25353	25353/490	.	95f73f989c68c2fce3f92c400cb80cf1432bb1ceb3128a144bc83cbb6fe55205	5084b8c1a7e83dd1f2761acf1398d62052f2e8e96629e76f20f89d139c051d27
14	500	asm-v1-719530b887dfd205060a628f	GCF_015551035.1	19473	occ-v1-733cdab402c1dd03f6319c23	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	000854e13ff7d7e1b6de3038dec65113d713f9ce4f130e117db24e1ca52ec07c	490/25353	25353/490	.	7729d75dc7e7987075ef36e4437bb05e17ea7a1e0993b6a73a47c3cb6dd1be9d	889476848b418f715854bb9f8d73c5a9629f6fd953b1067e13b14cdd4f9821c2
15	500	asm-v1-c27bf914b89e27d0dc27992c	GCF_021354235.1	23939	occ-v1-1438d052a5f71b4e17eff7ea	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	0009103ff11ad1149bc2ad61f5372778b45d22150b6d677b57022696e2bcf43f	490/25353	25353/490	.	f6e5b0aeed8d9981720fa1b572c260aa6375696e33281d18a8159957f5073480	4eeb46174908f7ef048ae26dde5baa7135dfab885f7f70b51faadca46cd778b4
16	500	asm-v1-929d3c84ca2e4a11e790b999	GCF_002485085.1	7465	occ-v1-800294f674e4944a7c37bf66	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	000e6235258c087c744da86341a34ecb21e213d6775e5f2485c4884826a8e99d	490/25353	25353/490	.	e85306c7d40349fe0eb80a71a74c8c8c40f1f1f86293ab5190c1de80c4b928d0	84f7293a7be3dc73c478100e68f74281f82bebb3450284cf112eeeefffdd9016
17	500	asm-v1-331be33613f5ee0144844f5c	GCF_014712315.1	18876	occ-v1-d6e6274742dbf6d23040e1d9	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	000ebf05358c01dabd7b19145ffe23ccd94d454eed6d3d634a5c8b69113f16d4	490/25353	25353/490	.	c777f3dba6e4676812184ed18a35ae8a93559797a59761a3f772bb8a10441791	c0035e458d883d9feed7cc1bfc314a9f2a185999c5b5aff93d4e42660132f525
18	500	asm-v1-f36d786b0ab3775223cf3d16	GCF_019120745.1	21756	occ-v1-f8608df19bd1df42cdb95daa	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	0012c5b5b7a48e1a2a63fa352be09c98faf589d999dd39beeca318cddbaf6438	490/25353	25353/490	.	249f6d3f8e521378fa51865e423aacdcd7c0d7e432a507e2602fffee82fd15f5	198b5d562977239002c1ef328b9215545fcdfecd298da34649318f98cbc46f98
19	500	asm-v1-b7796a1fc230ab9bd7633b94	GCF_006350715.1	15345	occ-v1-9916a3f03fd073df22c99c32	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	0014655bbd24999bf489f224f1389375dbe7193b0e6fcd1b3a179fa767caa1d2	490/25353	25353/490	.	f238ccd6e6e5f36b24b7b67715e4eaf6b730b8c16488ff4cf2f68c745dade665	8c12d0886335e199201bb513e530529c301de6f08d55b89715f33c26c0e92e13
20	500	asm-v1-97a929e91ce540241ff20371	GCF_002522525.1	8212	occ-v1-5716c4ca68e7339791659475	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	0014b200b2ef2e412ff3767828f7915cd4c5df8193b665480c01b3b8f111018a	490/25353	25353/490	.	49c6d48dab41949bce4563a18a8aac8389328c69a36cff5ca69bb02e050a1f34	3d1f53ba0bed0227a02604b10294cb76099aa0a65b32e5d6cff1ad714c59be0f
21	500	asm-v1-0bdf5b05c650023990a68d2d	GCF_018790115.1	21556	occ-v1-22620663e12ddee5a8eee893	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	001502eef44124a6b85f16b91026acd65fe2893fc0b146b1a169873af0bbc7f2	490/25353	25353/490	.	903ac68ca74d94c037deed988bbffa2e9aa0ce4f2de3a8f41f5bfc66ac3d09c3	c7f47ca451de1256a1ccaf9def7453aaa13e0e8d77a1a21a4d139f32caf84de9
22	500	asm-v1-1e2c548ce4eee4bbd7812d4a	GCF_002442365.1	6690	occ-v1-9f375f0d6dbd43d1938c42d6	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	0015b2e44968a26f229daea5f5fcbcf98a10136c5ae005f48b62859e6cc72cc5	490/25353	25353/490	.	e066c4268d74f563f01591734b74270304f5034969029262c1885adee0e1757e	92d11f4b8caed812445931dec999d648e24efa4c7708e3ab5d9f304daa55c2d1
23	500	asm-v1-faddf0606460939e473ac2c5	GCF_005885955.1	14805	occ-v1-8be38d36a99ca529af337d89	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	00163c6c2427e4359d9a23803605eece60a823bcabe411d7a3f0a07c20774050	490/25353	25353/490	.	223ce2fa3743ee07357e7dcfd79ac9b7d588da8db4ad4b5755c70584b19f08f9	4ccf366e34216496309410e80fbeb2220b57e14ca731669a523cf1415b240c4f
