cohort_order	accession	storage_release_id	storage_root	source_object_relpath	source_inventory_sha256	canonical_object_relpath	canonical_inventory_sha256	reuse_status	predecessor_digest_match	row_sha256
1	GCF_000005845.2	canonical-cohort-010-v1-e71484de9994fc28	/home/erikg/phind-data/ecoli26k/v1/releases/run-10-assembly-acquisition/canonical-cohort-010-v1-e71484de9994fc28	source_objects/GCF_000005845.2	6d5a7e7080f225c2879a3cb9c2b153a3eaa70ceff9077c42984c5c01a97d742c	canonical_objects/GCF_000005845.2	3e776adb1b4d21479e361d336dc79a8739758cf527a5f7abf19d03929f5fe509	REUSED_PREDECESSOR_BY_DIGEST	PASS	4b5b878bbe7b6455f33024e7f2cb02efb7b3e9d257bd9793519043ee0150942f
2	GCF_000812325.1	canonical-cohort-010-v1-e71484de9994fc28	/home/erikg/phind-data/ecoli26k/v1/releases/run-10-assembly-acquisition/canonical-cohort-010-v1-e71484de9994fc28	source_objects/GCF_000812325.1	150ff02f2857c9a2597ac02e5e2a847a9765792faf8acd36d55639f8d87bacaa	canonical_objects/GCF_000812325.1	901aacb42cd1a4b17ab51a85d3a9c43b71f4710909d6057045779a0eb15a17a2	REUSED_PREDECESSOR_BY_DIGEST	PASS	d2207ee3b520dff7c34fa17089c6fc338c6d14ec82e60633f954a314d15d0901
3	GCF_002302315.1	canonical-cohort-010-v1-e71484de9994fc28	/home/erikg/phind-data/ecoli26k/v1/releases/run-10-assembly-acquisition/canonical-cohort-010-v1-e71484de9994fc28	source_objects/GCF_002302315.1	417677ad21d2e2128c9bf63264af73c203928137e487a22fe0684e63775d965c	canonical_objects/GCF_002302315.1	e995a78411f0156bc81d019eb738e51c35e1c4a38e86936eabb701753af78f8a	REUSED_PREDECESSOR_BY_DIGEST	PASS	05d9228c443e80c8142b8ce6802fa7b127efe47965b1a4ee693164a387741dd8
4	GCF_004664255.1	canonical-cohort-010-v1-e71484de9994fc28	/home/erikg/phind-data/ecoli26k/v1/releases/run-10-assembly-acquisition/canonical-cohort-010-v1-e71484de9994fc28	source_objects/GCF_004664255.1	ab5d31114bb57a5663109dda74b8b7129f9cd94c02d888ec77d6227040c51fe0	canonical_objects/GCF_004664255.1	c8e657585f41be6f69ea53d6d0700d862428d0a7d5af814275393e1f9d3a6880	REUSED_PREDECESSOR_BY_DIGEST	PASS	6deb3e2f7509729157bbb97c86fd6fa1711b338885322441027c98627b4c7f5b
5	GCF_015644385.1	canonical-cohort-010-v1-e71484de9994fc28	/home/erikg/phind-data/ecoli26k/v1/releases/run-10-assembly-acquisition/canonical-cohort-010-v1-e71484de9994fc28	source_objects/GCF_015644385.1	3bdac97e9b946efcfd1a0e53ca0262a3a9b5b60458a37e1ce2287b3c362f2c45	canonical_objects/GCF_015644385.1	bce9afd4ff3b8184fb1c929f814e36192020bdc904c5fc712a1853a80a1b2e81	REUSED_PREDECESSOR_BY_DIGEST	PASS	b2183aa139e54edd05d26bcd396c0d9463bb3380e315f0446d348d0a53f4b307
6	GCF_020829045.1	canonical-cohort-010-v1-e71484de9994fc28	/home/erikg/phind-data/ecoli26k/v1/releases/run-10-assembly-acquisition/canonical-cohort-010-v1-e71484de9994fc28	source_objects/GCF_020829045.1	a74b6da33c02da6464daceff6f4e3a8284015b9359e95383ee5e05cdcb0fdb34	canonical_objects/GCF_020829045.1	b6b16f24a0b6a30a7fb18f85b2b847317f15f9dbaa44e0fec48aa77d54f143de	REUSED_PREDECESSOR_BY_DIGEST	PASS	37a45fbde65e909d0dd36a5a0e0e19656a0aaaf7a819ed76c7d68513d35d7d37
7	GCF_921380995.1	canonical-cohort-010-v1-e71484de9994fc28	/home/erikg/phind-data/ecoli26k/v1/releases/run-10-assembly-acquisition/canonical-cohort-010-v1-e71484de9994fc28	source_objects/GCF_921380995.1	13cc5dd8e8de98d0406a70230ec8ad36e728a3cfc14ad1a1bf43bf7314812660	canonical_objects/GCF_921380995.1	44089dae3e9dbfe4604701d239ad1bea44365ab1d133d6ad48cb7e25dfc912f5	REUSED_PREDECESSOR_BY_DIGEST	PASS	28066aad49afb6255e292eeacd452334586fa253c624c5323182ea9d356f122d
8	GCF_000167895.3	canonical-cohort-010-v1-e71484de9994fc28	/home/erikg/phind-data/ecoli26k/v1/releases/run-10-assembly-acquisition/canonical-cohort-010-v1-e71484de9994fc28	source_objects/GCF_000167895.3	2e0e9119cb27abeacadc8ee00ae3741268a9c0fe5a9c69a2ca1c03ecbad31b0b	canonical_objects/GCF_000167895.3	066794c99203511aae7f08e57e82f504423c2b23efcc8819f86a6c9f6645cbb7	REUSED_PREDECESSOR_BY_DIGEST	PASS	9a93aa9b86f276ab4b615af1f5fda091b4e5a18376b8c426a816065a77831c0f
9	GCF_001881595.4	canonical-cohort-010-v1-e71484de9994fc28	/home/erikg/phind-data/ecoli26k/v1/releases/run-10-assembly-acquisition/canonical-cohort-010-v1-e71484de9994fc28	source_objects/GCF_001881595.4	07fafc6106a8adbaffd44be833ee930ba338c0fe9f8228e0fed7be56d29ee5a6	canonical_objects/GCF_001881595.4	7440aa0087ffd1d213a938e2cca9c5b1255d54bb11dd8c0775154c059280254b	REUSED_PREDECESSOR_BY_DIGEST	PASS	132190ed8014af1f9e50befee78f5ee4dafe9cae69edba23db319433ac874b22
10	GCF_000498835.2	canonical-cohort-010-v1-e71484de9994fc28	/home/erikg/phind-data/ecoli26k/v1/releases/run-10-assembly-acquisition/canonical-cohort-010-v1-e71484de9994fc28	source_objects/GCF_000498835.2	0029d53bb7d5b491fd95517937bb031940cdd6fb07198fb4a673fee539a8cafa	canonical_objects/GCF_000498835.2	66f4fe3e05cf5bb0a61d2df02c5b2a7cffd32e2107751c37020bb5bed6b7d914	REUSED_PREDECESSOR_BY_DIGEST	PASS	9a4cc79f8b52ca5d82153e6a19c274c64fae72f9aa5c4a26aabc4ee4f46347bd
