GCA_000069185.1#1#CU458896_tRNA1_Ser	282787	282875
GCA_000069185.1#1#CU458896_tRNA2_Pro	406552	406626
GCA_000069185.1#1#CU458896_tRNA3_Lys	779016	779091
GCA_000069185.1#1#CU458896_tRNA4_Arg	1031174	1031247
GCA_000069185.1#1#CU458896_tRNA5_Gln	1164651	1164723
GCA_000069185.1#1#CU458896_tRNA6_Arg	1436629	1436702
GCA_000069185.1#1#CU458896_tRNA7_Lys	1550158	1550233
GCA_000069185.1#1#CU458896_tRNA8_His	1553091	1553166
GCA_000069185.1#1#CU458896_tRNA9_Arg	1582498	1582572
GCA_000069185.1#1#CU458896_tRNA10_Gly	1609289	1609362
GCA_000069185.1#1#CU458896_tRNA11_Lys	2089030	2089109
GCA_000069185.1#1#CU458896_tRNA12_Leu	2102926	2103012
GCA_000069185.1#1#CU458896_tRNA13_Val	2975226	2975298
GCA_000069185.1#1#CU458896_tRNA14_Glu	3335738	3335813
GCA_000069185.1#1#CU458896_tRNA15_Gln	3335909	3335981
GCA_000069185.1#1#CU458896_tRNA16_Ala	3491834	3491909
GCA_000069185.1#1#CU458896_tRNA17_Met	3537998	3538072
GCA_000069185.1#1#CU458896_tRNA18_Trp	3948846	3948919
GCA_000069185.1#1#CU458896_tRNA19_Met	3950749	3950825
GCA_000069185.1#1#CU458896_tRNA20_Thr	3950863	3950936
GCA_000069185.1#1#CU458896_tRNA21_Tyr	3965418	3965501
