GCA_000015005.1#1#CP000480_tRNA1_Gly	760001	760074
GCA_000015005.1#1#CP000480_tRNA2_SeC	1928428	1928522
GCA_000015005.1#1#CP000480_tRNA3_Val	2895086	2895160
GCA_000015005.1#1#CP000480_tRNA4_Cys	2895172	2895245
GCA_000015005.1#1#CP000480_tRNA5_Gly	2895273	2895346
GCA_000015005.1#1#CP000480_tRNA6_Leu	3328690	3328766
GCA_000015005.1#1#CP000480_tRNA7_Pro	3800548	3800622
GCA_000015005.1#1#CP000480_tRNA8_Cys	3883647	3883718
GCA_000015005.1#1#CP000480_tRNA9_Val	4405774	4405846
GCA_000015005.1#1#CP000480_tRNA10_Met	4532820	4532894
GCA_000015005.1#1#CP000480_tRNA11_Asn	4561209	4561282
GCA_000015005.1#1#CP000480_tRNA12_Pro	4764297	4764371
GCA_000015005.1#1#CP000480_tRNA13_Leu	4992841	4992927
GCA_000015005.1#1#CP000480_tRNA14_Leu	5458910	5458984
GCA_000015005.1#1#CP000480_tRNA15_Ala	5550051	5550124
GCA_000015005.1#1#CP000480_tRNA16_Phe	5834093	5834167
GCA_000015005.1#1#CP000480_tRNA17_Asp	5834209	5834285
GCA_000015005.1#1#CP000480_tRNA18_Glu	5834321	5834394
GCA_000015005.1#1#CP000480_tRNA19_Thr	6220990	6221063
GCA_000015005.1#1#CP000480_tRNA20_Ser	6393822	6393912
GCA_000015005.1#1#CP000480_tRNA21_Arg	6410365	6410438
GCA_000015005.1#1#CP000480_tRNA22_Ser	6410476	6410567
GCA_000015005.1#1#CP000480_tRNA23_Ser	6417689	6417776
