bait_id	bait_class	clade_id	genome_id	tier	cohort	member_prophage_id	member_source_accession	contig	start	end	length_bp	module	phrog	gene_annot	gene_start	gene_end	partition_a	partition_b	breakpoint	occurrence_a	occurrence_b	co_occurrence_count	observed_adjacency_count	adjacency_observed	partition_a_coords	partition_b_coords	seq_sha256	n_kmers_total	n_kmers_unique_canonical	n_ambiguous	n_low_complexity	n_host_like	n_host_like_raw	n_internal_dup	cross_bait_max_shared_frac	n_usable_kmers	gc_frac	expected_behavior	notes
ECBAIT_0_0014_INTERIOR_MODULE_01	interior_module	0_0014	clade_0_0014_ML	A	ecoli_ml_reconstructed			clade_0_0014_ML	3290	4489	1200	terminase	3717	terminase large subunit	3681	4100											2e5e8daea5d2b22af6dd6a3ce58006490f3f57b6c50773cb2f8a55eaeb844099	1170	1170	0	0	0	1054	0	0.0	1170	0.4883
ECBAIT_0_0051_INTERIOR_MODULE_01	interior_module	0_0051	clade_0_0051_ML	A	ecoli_ml_reconstructed			clade_0_0051_ML	42999	44198	1200	terminase	3717	terminase large subunit	43450	43749											578482261e5e0f951bd7181fa3acad982550c36d778b77320f5db000760f5dda	1170	1170	0	0	0	1088	0	0.0	1170	0.5458
ECBAIT_0_0052_INTERIOR_MODULE_01	interior_module	0_0052	clade_0_0052_ML	A	ecoli_ml_reconstructed			clade_0_0052_ML	3072	4271	1200	capsid	212	major head protein	3551	3793											13769742a0167e4c4cb705ff8d0144f28a3ae2973642290c905d2e512310442e	1170	1170	0	0	0	1026	0	0.0	1170	0.5133
ECBAIT_0_0059_INTERIOR_MODULE_01	interior_module	0_0059	clade_0_0059_ML	A	ecoli_ml_reconstructed			clade_0_0059_ML	2612	3811	1200	terminase	38	terminase large subunit	2740	3684											7b53ebbd2d366d56d9ca0dba6925a7b01257536ec48b11cd63fbfa662cbd61ea	1170	1145	0	0	0	1054	25	0.0	1145	0.5525
ECBAIT_0_0071_INTERIOR_MODULE_01	interior_module	0_0071	clade_0_0071_ML	A	ecoli_ml_reconstructed			clade_0_0071_ML	2605	3804	1200	terminase	38	terminase large subunit	2952	3458											798d65c91cf373b7cc4b8db9bf1bca8822a9001b1355320a52e2d2a6bfbe50a1	1170	1170	0	0	0	1111	0	0.0	1170	0.57
ECBAIT_0_0091_INTERIOR_MODULE_01	interior_module	0_0091	clade_0_0091_ML	A	ecoli_ml_reconstructed			clade_0_0091_ML	6869	8068	1200	terminase	3717	terminase large subunit	7153	7785											ec4479ad68ca2301d542e86bea31721443a820747222a0e576dcb4cb9502f6bd	1170	1170	0	111	0	1080	0	0.0	1059	0.4875
ECBAIT_0_0094_INTERIOR_MODULE_01	interior_module	0_0094	clade_0_0094_ML	A	ecoli_ml_reconstructed			clade_0_0094_ML	16862	18061	1200	terminase	21311	terminase large subunit	17202	17723											6a6d596dcd2d699e2ba46468a1d67c6c95b851f446b42ebb7c398ee2a7defd8e	1170	1170	0	0	0	1111	0	0.0	1170	0.5283
ECBAIT_10_0038_INTERIOR_MODULE_01	interior_module	10_0038	clade_10_0038_ML	A	ecoli_ml_reconstructed			clade_10_0038_ML	37601	38800	1200	terminase	10517	terminase large subunit	37849	38553											c9aae2f46e5a5603c1d48eef7b6a3e93cb43f12f726bd65d06461029bbe72e6d	1170	1170	0	75	1	1113	0	0.0	1094	0.465
ECBAIT_10_0044_INTERIOR_MODULE_01	interior_module	10_0044	clade_10_0044_ML	A	ecoli_ml_reconstructed			clade_10_0044_ML	26339	27538	1200	portal	18470	portal protein	26823	27056											0878f372147db1fe0560148f7854b779ce354daa7dab5f87d0d637ad89b13a74	1170	1170	0	0	0	1074	0	0.0	1170	0.5042
ECBAIT_10_0057_INTERIOR_MODULE_01	interior_module	10_0057	clade_10_0057_ML	A	ecoli_ml_reconstructed			clade_10_0057_ML	10006	11205	1200	portal	12	portal protein	10323	10889											18ccd2419eb531a4197b132b301ad918f32853ef198d21a10106b3ce443a0989	1170	1170	0	0	0	1111	0	0.0	1170	0.525
ECBAIT_10_0070_INTERIOR_MODULE_01	interior_module	10_0070	clade_10_0070_ML	A	ecoli_ml_reconstructed			clade_10_0070_ML	51929	53128	1200	terminase	33134	terminase large subunit	52174	52884											80c1c05d6d72f2b497fbf1b7e9de53db4ac2ca57e5afd3e5ee3b74dbe93d5e9b	1170	1170	0	0	0	1084	0	0.0	1170	0.5125
ECBAIT_10_0151_INTERIOR_MODULE_01	interior_module	10_0151	clade_10_0151_ML	A	ecoli_ml_reconstructed			clade_10_0151_ML	59280	60479	1200	portal	21	portal protein	59901	60413											804dfdb5fcece9480e136dfdeec36029641f642d110f5ec67f2e36fa24da66a7	1170	1170	0	0	0	1028	0	0.0	1170	0.5842
