	GCF_000700465.1_prop	GCF_000752195.1_prop	GCF_000781695.1_prop	GCF_000797715.1_prop	GCF_000951915.1_prop	GCF_001266405.1_prop	GCF_001285305.1_prop	GCF_001575465.1_prop	GCF_001660195.1_prop	GCF_002075175.1_prop	GCF_002075265.1_prop	GCF_002133665.1_prop	GCF_002190865.1_prop	GCF_002228955.1_prop	GCF_002379295.1_prop	GCF_002459545.1_prop	GCF_002460155.1_prop	GCF_002460805.1_prop	GCF_002461305.1_prop	GCF_002462995.1_prop	GCF_002548925.1_prop	GCF_002764255.1_prop	GCF_003306695.1_prop	GCF_003730825.1_prop	GCF_004568675.1_prop	GCF_005043105.1_prop	GCF_005044775.1_prop	GCF_005046555.1_prop	GCF_005388385.1_prop	GCF_005390725.1_prop	GCF_005391985.1_prop	GCF_005393945.1_prop	GCF_005502265.1_prop	GCF_006230715.1_prop	GCF_006335105.1_prop	GCF_007109465.1_prop	GCF_009790715.1_prop	GCF_010598165.1_prop	GCF_011250605.1_prop	GCF_012056855.1_prop	GCF_013073655.1_prop	GCF_013074045.1_prop	GCF_013368355.1_prop	GCF_013413135.1_prop	GCF_014325365.1_prop	GCF_014878375.1_prop	GCF_015693765.1_prop	GCF_017164395.1_prop	GCF_020085235.1_prop	GCF_021342965.1_prop	GCF_900195615.1_prop	GCF_900479075.1_prop	GCF_921293415.1_prop
GCF_000700465.1_prop	0.0	0.17455185293407696	0.10876856427781942	0.07700125773379239	0.13608933721240457	0.11540025154675848	0.0973727338559069	0.13330707761106805	0.10025027632030287	0.08102854674577262	0.06921982391726907	0.09704241993063407	0.1662749482296444	0.17235399489283854	0.14618932069670829	0.12983878139570337	0.14286712487136813	0.14530001397481992	0.1780709666764067	0.06201643946997319	0.1276091624001118	0.11090925260122216	0.09967857914194606	0.09967857914194606	0.15938282113500946	0.1217397380356485	0.10885114275913763	0.09933556083493197	0.11596559653424467	0.11236390431059673	0.11454905797009389	0.1506612630696327	0.15601615997357487	0.10971504071754348	0.10114593523306188	0.4540418990509827	0.14640529518630976	0.10229568178064614	0.09506688856986775	0.2148501518173618	0.10452530077623773	0.17580323453559132	0.24622997471828034	0.09512405828770343	0.13248129279788598	0.09967857914194606	0.09967857914194606	0.33800642841716105	0.3447715116943834	0.15678477506892127	0.11541295592849973	0.21331927381753968	0.10719322094190287
GCF_000752195.1_prop	0.17455185293407696	0.0	0.16797733538297357	0.14613850316974325	0.21713694053078908	0.1937672303177366	0.1494606989950834	0.22227586294512977	0.15970678286941167	0.14864126637277197	0.15135365187453154	0.16661161434578786	0.1793096438961798	0.15339270514400416	0.06287398523750842	0.20895531868941597	0.11975785448401154	0.1289304181012031	0.18951126243441363	0.16963525720020836	0.1388588924319998	0.1425304587552247	0.15796628257085868	0.15796628257085868	0.17189028495928246	0.11772515340540952	0.13592418024976816	0.1450903916760891	0.2019742609225922	0.1719347502953769	0.17553009032815417	0.13914474102117821	0.1345711635943237	0.1709247519469465	0.15384371069581898	0.3765261138566692	0.1761843659878292	0.15692452326807516	0.15814414391523637	0.16969877910891468	0.15655609619757854	0.1994714977195635	0.18005285022804365	0.16551903751603927	0.15108050766709438	0.15796628257085868	0.15796628257085868	0.27862614815849984	0.41674818644950645	0.15863326261227498	0.15592722930138606	0.1504770495343844	0.1568482969776276
GCF_000781695.1_prop	0.10876856427781942	0.16797733538297357	0.0	0.07621993825670474	0.1568292404050157	0.08031074917739128	0.028089388029931522	0.1550823879155921	0.1003773201377155	0.07632792550150547	0.06388398358593879	0.11047730362201924	0.18049115139811722	0.1605706808278175	0.1463290688958622	0.14732001067168066	0.15903980282799537	0.15917319883627865	0.19167735952129888	0.10481750155628676	0.13671185191772642	0.11796653665849352	0.011548283002807668	0.011548283002807668	0.1703594069594603	0.12611004535464282	0.1155272953641711	0.09934826521667323	0.08144779134323428	0.11103629641863479	0.11480314560491914	0.1647758311841754	0.14429001562638955	0.004211502547228539	0.10507794138198265	0.44526317126777026	0.16150445288580031	0.056617077229936606	0.05348544713071538	0.2137766315602251	0.061660716781217845	0.18969547596966194	0.24266004344898556	0.10921321763876361	0.15120119929363637	0.011548283002807668	0.011548283002807668	0.3208046955394916	0.3253655685846048	0.15176654428112257	0.09517487581466848	0.19905860531297245	0.06377599634113806
GCF_000797715.1_prop	0.07700125773379239	0.14613850316974325	0.07621993825670474	0.0	0.13715650527867063	0.12121885838425674	0.051916455985669456	0.13972914258127628	0.07278340299569322	0.05258343602708574	0.05507984703924384	0.08628180859578469	0.14902239782500984	0.13630531170200602	0.11967527600269333	0.13012462998488178	0.1234040120437539	0.121110871139456	0.1652395411177315	0.058154307420629374	0.09685185420451514	0.07335510017405003	0.06467165525389706	0.06467165525389706	0.13676266944469148	0.08387432825581544	0.07237686277997281	0.06286763304663778	0.12250835313099488	0.0862055823053371	0.08365200157534333	0.13313556845756103	0.1171915693722765	0.0785257835427439	0.05638204616772325	0.4379581517665443	0.1306582140180148	0.06750473238219862	0.07579434146837244	0.19726093529658378	0.061190654656791126	0.1626796081968671	0.23050195012259728	0.08547508035521452	0.11733131757143038	0.06467165525389706	0.06467165525389706	0.29909290714367387	0.3523496754030465	0.11123321433562436	0.0619973828973613	0.17730870377193095	0.06553555321230292
GCF_000951915.1_prop	0.13608933721240457	0.21713694053078908	0.1568292404050157	0.13715650527867063	0.0	0.1498862957834157	0.14833636121098168	0.14264479819089604	0.14199687472209166	0.13802040323707646	0.14167926517856008	0.06545297473098471	0.20099602352851498	0.21321128657273894	0.19081981375376367	0.05015689911450459	0.18372441655126853	0.1924269180440334	0.20714494429128608	0.137925120374017	0.17828694116600816	0.16180300585671997	0.1545551560733297	0.1545551560733297	0.19676546440867454	0.17384675974743688	0.15902074625538348	0.14725013657210373	0.15300522150089566	0.14823472615705158	0.1490096934432686	0.19063560021851536	0.19889980054120665	0.15745810730120818	0.1638928766531577	0.47574098306505913	0.18127247087520487	0.15166490922719245	0.1521413235424898	0.24594412612910194	0.16240011179855932	0.20819940797581085	0.26529925171191543	0.08717111531767306	0.1731162577973143	0.1545551560733297	0.1545551560733297	0.37680561025497694	0.34409182727122584	0.2038608616111697	0.16121225210575127	0.2553644251902481	0.16111061705182117
GCF_001266405.1_prop	0.11540025154675848	0.1937672303177366	0.08031074917739128	0.12121885838425674	0.1498862957834157	0.0	0.08256577693646538	0.12601476249158336	0.1250111163340236	0.1082159236720745	0.08158118735151754	0.12169527269955407	0.19341785981985188	0.19261748377015234	0.17140116626224386	0.1377027936935449	0.17844574593777393	0.187230825911857	0.20000508175269652	0.11007076340629883	0.16847280627088282	0.15596534244660984	0.08383621511059164	0.08383621511059164	0.19004484646754666	0.1624763380890069	0.15218578887858422	0.13613380254849897	0.07173529150203906	0.1369913483160342	0.14150775602505303	0.18494403719842975	0.1794748008588162	0.08074269815659421	0.14946705118595405	0.4499447359394255	0.17548562499205977	0.07803031265483465	0.0654910878762085	0.23099742101050652	0.0997293966689111	0.19797873286496512	0.2485739331495433	0.12018980346321446	0.16768513460292456	0.08383621511059164	0.08383621511059164	0.3519367829964555	0.2826979025065745	0.19206484316440742	0.13746776263133154	0.23040031506866718	0.09107136051224067
GCF_001285305.1_prop	0.0973727338559069	0.1494606989950834	0.028089388029931522	0.051916455985669456	0.14833636121098168	0.08256577693646538	0.0	0.15558421099437195	0.07893232375846429	0.05500362074879626	0.04436370104048887	0.09601971720046244	0.16884123334137943	0.1389605274859299	0.127812432507972	0.13981807325346512	0.14237165398345888	0.14053587082184646	0.1807325346512012	0.0963563833166059	0.11516522048454512	0.0940441858396961	0.016541105027123856	0.016541105027123856	0.15446622540114086	0.10380115101698575	0.09293255243733564	0.07568635422357171	0.0871774675085437	0.088498723209635	0.09187808875281084	0.14806321700354452	0.12261634037579561	0.03225007305019501	0.08049496271263959	0.43484557823993497	0.14923837231461132	0.03158944519964936	0.035254659332003606	0.1981565942093428	0.036277362062175245	0.18043398168028152	0.23109905606443662	0.09485726627113691	0.13613380254849897	0.016541105027123856	0.016541105027123856	0.2982671223304918	0.32819229352203577	0.12753928830053485	0.07053472742748974	0.17824247582991373	0.03822748465945905
GCF_001575465.1_prop	0.13330707761106805	0.22227586294512977	0.1550823879155921	0.13972914258127628	0.14264479819089604	0.12601476249158336	0.15558421099437195	0.0	0.15569219823917269	0.14424555029029512	0.14707862741859667	0.1446647948877568	0.18198391625271557	0.22374957122711622	0.19306213713109652	0.14547152312832695	0.17848385908299771	0.19033069505672506	0.18591592240163632	0.10826674119903955	0.16092640351657286	0.14646246490414544	0.15823942677829583	0.15823942677829583	0.19139151093212048	0.17030223724162463	0.14731365848081004	0.15048340172525504	0.15154421760065045	0.16483935309288172	0.1696670181545615	0.18874264733906723	0.20482004243263502	0.1540088676584554	0.1448934737590995	0.47485167634317077	0.1543899991106933	0.16311790936694065	0.1604055238651811	0.24868827258521464	0.1759366305438746	0.17619707036957047	0.2647783720605237	0.13996417364348965	0.15379289316885394	0.15823942677829583	0.15823942677829583	0.3848792448515493	0.3049242183629134	0.2017138210968963	0.1726716044363701	0.2584515899533749	0.17314801875166744
GCF_001660195.1_prop	0.10025027632030287	0.15970678286941167	0.1003773201377155	0.07278340299569322	0.14199687472209166	0.1250111163340236	0.07893232375846429	0.15569219823917269	0.0	0.06941674183425864	0.07056013619097226	0.09121110871139455	0.16882852895963818	0.15127742558408394	0.13612745035762835	0.13495229504656156	0.14429636781726018	0.14240341493781206	0.1840674348582826	0.09877656803831641	0.11938307522264428	0.10268951761462529	0.08882903713490783	0.08882903713490783	0.15433918158372822	0.10918780887528108	0.10218134234497478	0.08456671706071424	0.12995947302224536	0.04903256133040285	0.048327468143762785	0.1485015181736181	0.13641329894680676	0.1038075032078564	0.08680904043804709	0.4451742405955814	0.15141717378323785	0.08024087507781434	0.07973269980816383	0.20659865587641177	0.08785079974083061	0.1817298286178903	0.2391790428518796	0.09419028622972063	0.13864291794239833	0.08882903713490783	0.08882903713490783	0.31346156289304183	0.3580666471866147	0.13725178814173009	0.08882903713490783	0.19370370840903028	0.08477633935944508
GCF_002075175.1_prop	0.08102854674577262	0.14864126637277197	0.07632792550150547	0.05258343602708574	0.13802040323707646	0.1082159236720745	0.05500362074879626	0.14424555029029512	0.06941674183425864	0.0	0.05699185649130385	0.0866502356662813	0.16155527041276535	0.14129178153545158	0.12516356891491875	0.1296990331965495	0.13452034606735863	0.13432978034123969	0.17194745467711814	0.08267376418126612	0.11065516496639691	0.08938167774065275	0.06483681221653348	0.06483681221653348	0.1477138465056598	0.10103794798826116	0.08997243149162146	0.07085868916189193	0.11723603470837092	0.08436344695285404	0.08715205874506117	0.1414378819254761	0.12628790669902049	0.07968823447206942	0.08343602708574187	0.43678299645547747	0.141336246871546	0.06496385603394611	0.06650108622463888	0.19764206674882168	0.06945485497948242	0.1737895900296012	0.23114352140053104	0.08647872651277426	0.12743130105573414	0.06483681221653348	0.06483681221653348	0.30569283345825976	0.3424847229809561	0.12836507311371692	0.06780328535311829	0.18318448032726486	0.06855919606672341
