stage_b_order	accession	source_state	canonical_state	terminal_state	reason	row_sha256
1	GCF_000005845.2	COMPLETE	COMPLETE	VALIDATED	REUSED_PREDECESSOR_BY_DIGEST	751383265639f4a6966badba26d9aa807612fb054bfccb5ce51472735a8d8795
2	GCF_000812325.1	COMPLETE	COMPLETE	VALIDATED	REUSED_PREDECESSOR_BY_DIGEST	5674c3f2bec292520e7bb62e5ed1c73e70f4ba8217f35cc01c54f6b1f4ddbcdf
3	GCF_002302315.1	COMPLETE	COMPLETE	VALIDATED	REUSED_PREDECESSOR_BY_DIGEST	e3be65525e673c0b58681a54289cf6c3c8d25fe435da191061b8a6c6d88e2284
4	GCF_004664255.1	COMPLETE	COMPLETE	VALIDATED	REUSED_PREDECESSOR_BY_DIGEST	f6e0d5b891caed8ba84d5a0dd99aa65f8019bc52d92dd7e269d7291514a4500f
5	GCF_015644385.1	COMPLETE	COMPLETE	VALIDATED	REUSED_PREDECESSOR_BY_DIGEST	4db3ce5cf1691f780ccc0ce1640b6b0906aa1669035f1dc80ef28b6d1e919477
6	GCF_020829045.1	COMPLETE	COMPLETE	VALIDATED	REUSED_PREDECESSOR_BY_DIGEST	d91b00e7b15a7ba96e70cddce6ad328847026b35110dbc0f40003829a5df5c72
7	GCF_921380995.1	COMPLETE	COMPLETE	VALIDATED	REUSED_PREDECESSOR_BY_DIGEST	6bd6223be5570e3ddb0bb7015982d41bc73dd66fabb2f36a18c31882cab28bb2
8	GCF_000167895.3	COMPLETE	COMPLETE	VALIDATED	REUSED_PREDECESSOR_BY_DIGEST	23487038badbf28ca23374f7a1500f7c3e6a7c438dbbdbad4481426918a1d9e5
9	GCF_001881595.4	COMPLETE	COMPLETE	VALIDATED	REUSED_PREDECESSOR_BY_DIGEST	53e78e3f943f5454bea840928a340c769ad7859c1ac61892c1d4709abe81e6ee
10	GCF_000498835.2	COMPLETE	COMPLETE	VALIDATED	REUSED_PREDECESSOR_BY_DIGEST	4bdb68a969892c9150b6c29abbcfdf6370240e3be9cf33d9a25b45a7cf90b21e
11	GCF_015548345.1	COMPLETE	COMPLETE	VALIDATED	REUSED_PREDECESSOR_BY_DIGEST	e7ed36c1eff1e17f295b8ef9b34923e79da26bf507963f921803538e1b826d35
12	GCF_019926545.1	COMPLETE	COMPLETE	VALIDATED	REUSED_PREDECESSOR_BY_DIGEST	f682db76af92bee759da6416c4d60751656074d71f457b5c03158e7b07f37743
13	GCF_001614385.1	COMPLETE	COMPLETE	VALIDATED	REUSED_PREDECESSOR_BY_DIGEST	5981acc0a40b7a343a31a389fbf5818ae7c6483f198adb6ad67aec049fb72e6e
14	GCF_015551035.1	COMPLETE	COMPLETE	VALIDATED	REUSED_PREDECESSOR_BY_DIGEST	2c10b53664467797e4493cb1f138effe67fb9afd4b23d7c9cae420c247e73130
15	GCF_021354235.1	COMPLETE	COMPLETE	VALIDATED	REUSED_PREDECESSOR_BY_DIGEST	d9aa724db499a4d576491934396d9d82dc3b24189a526095f72ebd3d03abe196
16	GCF_002485085.1	COMPLETE	COMPLETE	VALIDATED	REUSED_PREDECESSOR_BY_DIGEST	3c0ae5e39c2f9dc12ce3c8b177916a1078dc283c93da36c5f371131bb389b301
17	GCF_014712315.1	COMPLETE	COMPLETE	VALIDATED	REUSED_PREDECESSOR_BY_DIGEST	bb7eb914a772ebca4d8e60877f6b98317c6bd403ebed7f5f80834b89bc1ff449
18	GCF_019120745.1	COMPLETE	COMPLETE	VALIDATED	REUSED_PREDECESSOR_BY_DIGEST	f7f01394fb47875b0ebc336df95b02239a75957e7014900e91efe55a6c8ba0ec
19	GCF_006350715.1	COMPLETE	COMPLETE	VALIDATED	REUSED_PREDECESSOR_BY_DIGEST	6185e3ed720375491b2543d32c1c1909486d069110ab7b1aec7f1c84ecca1257
20	GCF_002522525.1	COMPLETE	COMPLETE	VALIDATED	REUSED_PREDECESSOR_BY_DIGEST	3e9d157379654635a0d8242e7118dc9053dd897bf9739546b9f6641c8b6108a0
21	GCF_018790115.1	COMPLETE	COMPLETE	VALIDATED	REUSED_PREDECESSOR_BY_DIGEST	7addfcf11c7bb1940e6cb833760c2ee83b8f4790ea5c86912c16783e947fd2d9
22	GCF_002442365.1	COMPLETE	COMPLETE	VALIDATED	REUSED_PREDECESSOR_BY_DIGEST	810c4d9f52be861b798f495c18e4fb295410e01d0eb2e4672e25c9f0013a0844
23	GCF_005885955.1	COMPLETE	COMPLETE	VALIDATED	REUSED_PREDECESSOR_BY_DIGEST	ee45164d66fc8d371d4963459a70fc094ffe2fe6a48e0c4fceb3a54ee7c99f3e
24	GCF_002513075.1	COMPLETE	COMPLETE	VALIDATED	REUSED_PREDECESSOR_BY_DIGEST	d5f51361d6a77da443c92063a785e2a630a2b4a902b084a73860f03c89448a57
25	GCF_902810185.1	COMPLETE	COMPLETE	VALIDATED	REUSED_PREDECESSOR_BY_DIGEST	e536c6061a55ce71f38cee35521231309747567021bad1cc5bee973152faeb57
26	GCF_005043025.1	COMPLETE	COMPLETE	VALIDATED	REUSED_PREDECESSOR_BY_DIGEST	c01a30db3df415b8e47dbc5a189861119c4d49e71a568554d54524e5311d88af
27	GCF_017595115.1	COMPLETE	COMPLETE	VALIDATED	REUSED_PREDECESSOR_BY_DIGEST	17ccfb8e0ea622c09f0ca85b0ac29161572f7ff2e7317c4a3a1171d2b2371f5b
28	GCF_014528625.1	COMPLETE	COMPLETE	VALIDATED	REUSED_PREDECESSOR_BY_DIGEST	68a6577c7ee00e7a11965dac3cff2bbf5e5242d5abfb6393ba3d3cbb0eec12fb
29	GCF_008041205.1	COMPLETE	COMPLETE	VALIDATED	REUSED_PREDECESSOR_BY_DIGEST	edb76d5b7a9c8bde14cb18503622f0ee003e57ea18c5627d0df026ced2ebc368
30	GCF_009820795.1	COMPLETE	COMPLETE	VALIDATED	REUSED_PREDECESSOR_BY_DIGEST	05538940b30f8b668d92a542b0764470aecdfcd9d14f03c5d7198111d59ef56f
31	GCF_900479385.1	COMPLETE	COMPLETE	VALIDATED	REUSED_PREDECESSOR_BY_DIGEST	52864d9377f538007224e613a21e8773df7610935fa361784c82eed1fe90943d
32	GCF_004767475.1	COMPLETE	COMPLETE	VALIDATED	REUSED_PREDECESSOR_BY_DIGEST	39e23e08d0dcdf2f8c51fa831ee84982207d7326119e9b453e75b8b4f978e0f7
33	GCF_002519245.1	COMPLETE	COMPLETE	VALIDATED	REUSED_PREDECESSOR_BY_DIGEST	a3039fc8c0dfcaf3f34146dc58fbcb6dedbf84fb651d5a872c022264e34959dc
34	GCF_015644305.1	COMPLETE	COMPLETE	VALIDATED	REUSED_PREDECESSOR_BY_DIGEST	0aabaa712cf20d2a0265364ab804bc896a71e4659760ae950eddf287fb68119b
35	GCF_001616285.1	COMPLETE	COMPLETE	VALIDATED	REUSED_PREDECESSOR_BY_DIGEST	e6e9f8085d2425868f56462a0894ad221bd7f04f8542ec96da7c5d1d64496c5a
36	GCF_001614645.1	COMPLETE	COMPLETE	VALIDATED	REUSED_PREDECESSOR_BY_DIGEST	bfa13f0f0d1f78c16e106ad6061fbb91270e39d84e02e7beede66fe401c5107c
37	GCF_013370625.1	COMPLETE	COMPLETE	VALIDATED	REUSED_PREDECESSOR_BY_DIGEST	a01e34e7bbef675271408861d5f88f122f1e305f3f30e433c1c5bcbd36a92210
38	GCF_013608825.1	COMPLETE	COMPLETE	VALIDATED	REUSED_PREDECESSOR_BY_DIGEST	b3e9ebf93e10b978674b8ea0ab23b75ae2e53652b9d8b76d2417f768ab9da53c
39	GCF_005043625.1	COMPLETE	COMPLETE	VALIDATED	REUSED_PREDECESSOR_BY_DIGEST	bb99fd28713ff5d8755a047c29b451e55c1529dff3123db9e6664fc6813eb1cb
40	GCF_902163565.1	COMPLETE	COMPLETE	VALIDATED	REUSED_PREDECESSOR_BY_DIGEST	3198e3169229a2d36764b27b1a0f6eb4e6bcbaa0a7bee40c840f2d81c4494c1c
41	GCF_006351505.1	COMPLETE	COMPLETE	VALIDATED	REUSED_PREDECESSOR_BY_DIGEST	f7e3844d71badc6a19ebe9484afb25a79c75c64fdf0f83cd6c9f8dafe009d944
42	GCF_005039315.1	COMPLETE	COMPLETE	VALIDATED	REUSED_PREDECESSOR_BY_DIGEST	ba58a3058ce20d19abdcfe8f3b95448c91d5903ef63e0e1ce7c35fd3b6a8e21e
43	GCF_005384385.1	COMPLETE	COMPLETE	VALIDATED	REUSED_PREDECESSOR_BY_DIGEST	f682e3c0f7485adddae0292ae05137c2f5179da832586b87cbc2011167dd88ee
44	GCF_016530465.1	COMPLETE	COMPLETE	VALIDATED	REUSED_PREDECESSOR_BY_DIGEST	ab1f713ca2c9a51a3cd68f2d56b2b8c1cec51cc6fcc626f34505254f65261468
45	GCF_002152015.1	COMPLETE	COMPLETE	VALIDATED	REUSED_PREDECESSOR_BY_DIGEST	b72c54881b587411857892b03640db084e60cf9405d2a66473117b2e2306d334
46	GCF_018344735.1	COMPLETE	COMPLETE	VALIDATED	REUSED_PREDECESSOR_BY_DIGEST	b50236b96e91a4c96622d33ece501adf2ce47aab01bc4ae5f22c3e640811b60e
47	GCF_002513625.1	COMPLETE	COMPLETE	VALIDATED	REUSED_PREDECESSOR_BY_DIGEST	8cb7489ce8c44a32cfef811f8e50cbf7d68433f01bcf98846a25fc3a6ab015af
48	GCF_002229025.1	COMPLETE	COMPLETE	VALIDATED	REUSED_PREDECESSOR_BY_DIGEST	cfa664946eed998fe4a592716e6df2acdee83d3598bbf77afd9068a7b9cd8652
49	GCF_000778685.1	COMPLETE	COMPLETE	VALIDATED	REUSED_PREDECESSOR_BY_DIGEST	2c7980a542ef6471df321ce5f8295b5600b8c637a047d9d7d46e25d78284308a
50	GCF_020037245.1	COMPLETE	COMPLETE	VALIDATED	REUSED_PREDECESSOR_BY_DIGEST	ce82283f734e07be090acafcac7c0d062633d138930a248fdb730c60b2d41d2b
51	GCF_003731035.1	COMPLETE	COMPLETE	VALIDATED	REUSED_PREDECESSOR_BY_DIGEST	a2954fe9e156e94d4b44e6daab14c190716bb1cc6392ae4852c8e0e3dedb9e16
52	GCF_000326585.1	COMPLETE	COMPLETE	VALIDATED	REUSED_PREDECESSOR_BY_DIGEST	859b1fb1fd87c53942538157d8c16e6499f5c6ed26de74ac99df4076fe42951d
53	GCF_000780535.1	COMPLETE	COMPLETE	VALIDATED	REUSED_PREDECESSOR_BY_DIGEST	4287fbc9bd32d01a2a6550bc14c05943634c2de70e5faf76951e2fd382890453
54	GCF_003570445.1	COMPLETE	COMPLETE	VALIDATED	REUSED_PREDECESSOR_BY_DIGEST	720a07bc200ae250ca87c0e53a7096a7c84100bb8f4cf9eaac7632c3e2e6cfcf
55	GCF_000447005.2	COMPLETE	COMPLETE	VALIDATED	REUSED_PREDECESSOR_BY_DIGEST	ade291e70032101d941c1128a266965ae0d331da90d4f9021d3406f83bfdfc75
