seq_name	chromosome_score	plasmid_score	virus_score
GCA_001583545.1#1#LNAV01000170	0.9192	0.0597	0.0211
GCA_001583545.1#1#LNAV01000102	0.2059	0.7371	0.0570
GCA_001583545.1#1#LNAV01000047	0.9132	0.0648	0.0219
GCA_001583545.1#1#LNAV01000168	0.7039	0.2492	0.0468
GCA_001583545.1#1#LNAV01000056	0.2280	0.6732	0.0989
GCA_001583545.1#1#LNAV01000042	0.0083	0.9842	0.0075
GCA_001583545.1#1#LNAV01000118	0.8575	0.1106	0.0319
GCA_001583545.1#1#LNAV01000095	0.3390	0.5548	0.1062
GCA_001583545.1#1#LNAV01000022	0.9035	0.0820	0.0145
GCA_001583545.1#1#LNAV01000091	0.8744	0.0960	0.0295
GCA_001583545.1#1#LNAV01000011	0.8595	0.1070	0.0335
GCA_001583545.1#1#LNAV01000072	0.0513	0.9110	0.0376
GCA_001583545.1#1#LNAV01000160	0.0069	0.9904	0.0027
GCA_001583545.1#1#LNAV01000092	0.9132	0.0648	0.0220
GCA_001583545.1#1#LNAV01000005	0.3549	0.3746	0.2705
GCA_001583545.1#1#LNAV01000019	0.5238	0.4215	0.0546
GCA_001583545.1#1#LNAV01000147	0.8046	0.1637	0.0318
GCA_001583545.1#1#LNAV01000133	0.8213	0.1379	0.0408
GCA_001583545.1#1#LNAV01000113	0.0107	0.9818	0.0075
GCA_001583545.1#1#LNAV01000140	0.8232	0.1316	0.0452
GCA_001583545.1#1#LNAV01000099	0.7764	0.1832	0.0404
GCA_001583545.1#1#LNAV01000058	0.4039	0.4176	0.1785
GCA_001583545.1#1#LNAV01000146	0.8902	0.0832	0.0266
GCA_001583545.1#1#LNAV01000037	0.1526	0.8135	0.0339
GCA_001583545.1#1#LNAV01000115	0.8964	0.0771	0.0265
GCA_001583545.1#1#LNAV01000083	0.0137	0.9801	0.0062
GCA_001583545.1#1#LNAV01000136	0.3957	0.5792	0.0251
GCA_001583545.1#1#LNAV01000030	0.8555	0.1121	0.0324
GCA_001583545.1#1#LNAV01000067	0.6458	0.2404	0.1137
GCA_001583545.1#1#LNAV01000024	0.0449	0.9268	0.0282
