stage_b_order	accession	source_state	canonical_state	terminal_state	reason	row_sha256
1	GCF_000005845.2	COMPLETE	COMPLETE	VALIDATED	REUSED_PREDECESSOR_BY_DIGEST	751383265639f4a6966badba26d9aa807612fb054bfccb5ce51472735a8d8795
2	GCF_000812325.1	COMPLETE	COMPLETE	VALIDATED	REUSED_PREDECESSOR_BY_DIGEST	5674c3f2bec292520e7bb62e5ed1c73e70f4ba8217f35cc01c54f6b1f4ddbcdf
3	GCF_002302315.1	COMPLETE	COMPLETE	VALIDATED	REUSED_PREDECESSOR_BY_DIGEST	e3be65525e673c0b58681a54289cf6c3c8d25fe435da191061b8a6c6d88e2284
4	GCF_004664255.1	COMPLETE	COMPLETE	VALIDATED	REUSED_PREDECESSOR_BY_DIGEST	f6e0d5b891caed8ba84d5a0dd99aa65f8019bc52d92dd7e269d7291514a4500f
5	GCF_015644385.1	COMPLETE	COMPLETE	VALIDATED	REUSED_PREDECESSOR_BY_DIGEST	4db3ce5cf1691f780ccc0ce1640b6b0906aa1669035f1dc80ef28b6d1e919477
6	GCF_020829045.1	COMPLETE	COMPLETE	VALIDATED	REUSED_PREDECESSOR_BY_DIGEST	d91b00e7b15a7ba96e70cddce6ad328847026b35110dbc0f40003829a5df5c72
7	GCF_921380995.1	COMPLETE	COMPLETE	VALIDATED	REUSED_PREDECESSOR_BY_DIGEST	6bd6223be5570e3ddb0bb7015982d41bc73dd66fabb2f36a18c31882cab28bb2
8	GCF_000167895.3	COMPLETE	COMPLETE	VALIDATED	REUSED_PREDECESSOR_BY_DIGEST	23487038badbf28ca23374f7a1500f7c3e6a7c438dbbdbad4481426918a1d9e5
9	GCF_001881595.4	COMPLETE	COMPLETE	VALIDATED	REUSED_PREDECESSOR_BY_DIGEST	53e78e3f943f5454bea840928a340c769ad7859c1ac61892c1d4709abe81e6ee
10	GCF_000498835.2	COMPLETE	COMPLETE	VALIDATED	REUSED_PREDECESSOR_BY_DIGEST	4bdb68a969892c9150b6c29abbcfdf6370240e3be9cf33d9a25b45a7cf90b21e
11	GCF_015548345.1	COMPLETE	COMPLETE	VALIDATED	.	5f548e44e4f11527be7690b1d8a848a89c2bfee2a6809b49315965897a806714
12	GCF_019926545.1	COMPLETE	COMPLETE	VALIDATED	.	475792b64adad207e7391c299ef3375c7fac70d60965e76716ba3b921e322131
13	GCF_001614385.1	COMPLETE	COMPLETE	VALIDATED	.	91266af82bfe26d1810642b22491eb54092de637474d60d0997bb75d6b965c5c
14	GCF_015551035.1	COMPLETE	COMPLETE	VALIDATED	.	c2cfedfb0ec5097cad77c0ed4c30593c58d654de89a1864fb2f856df17dad966
15	GCF_021354235.1	COMPLETE	COMPLETE	VALIDATED	.	80eb37a1a48395292ecd5f1473412cef2768d79dd11994ea847f11000a686225
16	GCF_002485085.1	COMPLETE	COMPLETE	VALIDATED	.	24dba8f334095e526c6fbc6a0eb8533787f630afe573c035fa061e275d3c2fab
17	GCF_014712315.1	COMPLETE	COMPLETE	VALIDATED	.	ace10fc966259d39fcaec56b54c46d5d48c9cdc8fd13700a63e7c34dcc60cab8
18	GCF_019120745.1	COMPLETE	COMPLETE	VALIDATED	.	72a8120f240d706e26e127ebf4b193a8b8ea26eee30024b8831d2a3c6491244f
19	GCF_006350715.1	COMPLETE	COMPLETE	VALIDATED	.	b0c02ffffd3e6bec2d7c1ba25f8ac96a5d8b0b9c78f6886d94ce147a1ee1a102
20	GCF_002522525.1	COMPLETE	COMPLETE	VALIDATED	.	314183440c46b6510001d9cc76d6897ebbc03ca5bb61f4c28dee6675a1018237
21	GCF_018790115.1	COMPLETE	COMPLETE	VALIDATED	.	b90e11991f33b903f593b42903e34c9a2353c5f602c2a1ae86c443794dfdb2a4
22	GCF_002442365.1	COMPLETE	COMPLETE	VALIDATED	.	cbec7b22b812e8076c702da7dd5bc1938300ec2db2d21b336ce29b0393566f03
23	GCF_005885955.1	COMPLETE	COMPLETE	VALIDATED	.	4cdd3e43654bc465bcda23a755808524f859fccc9996e06c0ca073d9eff5844f
24	GCF_002513075.1	COMPLETE	COMPLETE	VALIDATED	.	e9e3399a703e4ec5a7a607c949af5d99fc735adb1ca2599c5478989d49f8d649
25	GCF_902810185.1	COMPLETE	COMPLETE	VALIDATED	.	ab559c2cbc3c5c138a274466afed7b451928032559c7237041a8063e1a9a6923
26	GCF_005043025.1	COMPLETE	COMPLETE	VALIDATED	.	e01aba4d8728b967c6a8684ab62f5596617d7a984b6d155bd143337724d30822
27	GCF_017595115.1	COMPLETE	COMPLETE	VALIDATED	.	9ac5d12f24e27f7e5a7e420d2d4eb87f541721823518278903c0bf84121db7e9
28	GCF_014528625.1	COMPLETE	COMPLETE	VALIDATED	.	728a8dc6be6474d3838528fbefdd1a5acc5f6820788b73eea485baf558914cfa
29	GCF_008041205.1	COMPLETE	COMPLETE	VALIDATED	.	46836c4e93e04d0be2ce5509639d04e213839b07496c54ad29016dd6d9c84381
30	GCF_009820795.1	COMPLETE	COMPLETE	VALIDATED	.	b0af4e420e4449d814faacf53c3322edbfd3bdad081cbfe573602a42a47bdb32
31	GCF_900479385.1	COMPLETE	COMPLETE	VALIDATED	.	6b0b86eb3f4644be6ae3e774b07ce2636f81733a9b8fef7ab9b95ecd279b31c5
32	GCF_004767475.1	COMPLETE	COMPLETE	VALIDATED	.	7ba4035bc88ddcdcce20085bb97280df5e88371f826e9b7798ce5292854f60fc
33	GCF_002519245.1	COMPLETE	COMPLETE	VALIDATED	.	a3a1dd1813fda4fc81824c9abaff82b7a04050f88b1e8efb816636db85619ea6
34	GCF_015644305.1	COMPLETE	COMPLETE	VALIDATED	.	a556f752aab18db1151a328c96b586e21b049818699086e1ce100807add814a7
35	GCF_001616285.1	COMPLETE	COMPLETE	VALIDATED	.	4492a480c4ba2ca5776ebbf09718c1ebfee872d3b8d2bf43f2d8c06d6067fe19
36	GCF_001614645.1	COMPLETE	COMPLETE	VALIDATED	.	a66d9906854657a53021aff5e0c4971efad1447bfd4cc41bfcbcc44d33bb3922
37	GCF_013370625.1	COMPLETE	COMPLETE	VALIDATED	.	ac4bcfbe3f25f1a91f050bba1250c7a3f0505e0964df30d8535419aedf1c5b48
38	GCF_013608825.1	COMPLETE	COMPLETE	VALIDATED	.	e4c12c1573c12ae86afa929b985f3a566eb25788fc8c5eb2e9ad5a6490252ef3
39	GCF_005043625.1	COMPLETE	COMPLETE	VALIDATED	.	12e615a4606d7ee34f73a31a412324c915a810718620c97f537604d65d835009
40	GCF_902163565.1	COMPLETE	COMPLETE	VALIDATED	.	e8c0c5ceadb0772ad63166232bca5f7c1b8c6b44c8148bb0d0da4ad45c5e22ac
41	GCF_006351505.1	COMPLETE	COMPLETE	VALIDATED	.	8ef0f3c2a25bd4bdc2aa3033cd85037ed752dc1ff1d78d0dfa0ff4a85abb92fa
42	GCF_005039315.1	COMPLETE	COMPLETE	VALIDATED	.	8559ed59cd2c23a7415e8c8cb1b9f8f059173d184631a8b58b75999bc9567968
43	GCF_005384385.1	COMPLETE	COMPLETE	VALIDATED	.	52aab2cde50f9b05114a725cc59139ed54478bf69dac905d4b71353c078de096
44	GCF_016530465.1	COMPLETE	COMPLETE	VALIDATED	.	b01ea2a6ffb779fb3ec7bbb4aa138edeccd0bbd0c48e65d6ed36f5e24633403d
45	GCF_002152015.1	COMPLETE	COMPLETE	VALIDATED	.	c8703cc52c7fbe0124935355e627d882df5e1ecdb3b45934dc921c2d86dba8e5
46	GCF_018344735.1	COMPLETE	COMPLETE	VALIDATED	.	280fd711cee54cba68c972f997dcf1c23fddefd19a0d0b3a96f5b2db25979040
47	GCF_002513625.1	COMPLETE	COMPLETE	VALIDATED	.	067cca51e1de0a20d4473c33eaeb95983a724d8550f089353f1fe3e59d7fa9be
48	GCF_002229025.1	COMPLETE	COMPLETE	VALIDATED	.	2f8bfb09b217e75b145300b8c5d32a13cce726733abc1672536b66b707f78fd2
49	GCF_000778685.1	COMPLETE	COMPLETE	VALIDATED	.	0c363aaed88f6f4cc1887d55cecc5e6fa30ebf42e3f11b39eb54ffcd6e14c003
50	GCF_020037245.1	COMPLETE	COMPLETE	VALIDATED	.	0f928d90f1cbf70fdcfdd55dc80f53f4b83d97bc479759aaee79ab95f03fa1ec
51	GCF_003731035.1	COMPLETE	COMPLETE	VALIDATED	.	74d58675b8c89ea7f1b6f15de4769f5e8067ab23554fb972e784d815ab52f67e
52	GCF_000326585.1	COMPLETE	COMPLETE	VALIDATED	.	07350eec6780c64d9a562dbab27abc8c2414fe10e251d52daea2895c9f048d36
53	GCF_000780535.1	COMPLETE	COMPLETE	VALIDATED	.	e96d428371f025433d83b40f40a6aa67c0860d2dd99c8e4868074816447337a6
54	GCF_003570445.1	COMPLETE	COMPLETE	VALIDATED	.	e04d36a941a675c7b60477a17af8f64851d37454e1ea2c7fff39b1b21eec2bea
55	GCF_000447005.2	COMPLETE	COMPLETE	VALIDATED	.	2ee797faac0084d21e3fb7b2598ecccbb1a3acdb2035a02b4c529299ce105890
56	GCF_013073765.1	COMPLETE	COMPLETE	VALIDATED	.	3f754f88ed7a00689e635f076dfa66c0c459fe4793304a5c206070e55e437ef5
57	GCF_005041275.1	COMPLETE	COMPLETE	VALIDATED	.	14906b47efc3233c7ce05cb5c20b7aa4daf4514f67c9376a82d9d0cee550f7fd
58	GCF_014862465.1	COMPLETE	COMPLETE	VALIDATED	.	efe800165f485fc709313f4eaf7b59f1f87a583c3fec61df5762bee3958d9640
59	GCF_900195795.1	COMPLETE	COMPLETE	VALIDATED	.	85ec34213fbb941bb4206e24679f9505214ecb2507936763625e270bf1090307
60	GCF_014878375.1	COMPLETE	COMPLETE	VALIDATED	.	28fd24d23b663302cf3650ead36e681ff031eca9bb4e70edca861db9741baef0
61	GCF_921293415.1	COMPLETE	COMPLETE	VALIDATED	.	bbb1c8c5d2e079ce43bf2ea61c6a1bffde5d47ec095e5e2233e8880b17bdd388
62	GCF_006229985.1	COMPLETE	COMPLETE	VALIDATED	.	1baab1557bfd8a578e05389f8e266bed7cd1e382b3b5439abb0ebc38a3b5943b
63	GCF_005045505.1	COMPLETE	COMPLETE	VALIDATED	.	4774a135433a7d0eef7c0bffd727b621710dc1937a9106f06404b7d90e8fb1bc
64	GCF_001660345.1	COMPLETE	COMPLETE	VALIDATED	.	a65fddd894bbf4c0075a1cedafe7303487215f56baeda4b29f59ce78700e465f
65	GCF_020162695.1	COMPLETE	COMPLETE	VALIDATED	.	8ee1e9036be2381a68ada860be0b2879757049d0518d0502c0e604b94ecca0f9
66	GCF_003981675.1	COMPLETE	COMPLETE	VALIDATED	.	fabc42a34506dd88790bd3d946fb4653182c9fb40594cb0bcb4b0d9c2aac20d8
67	GCF_905330275.1	COMPLETE	COMPLETE	VALIDATED	.	b487260ec7b1625b7ff5adb4a3106ab098840ea2309f7519274cb6526f6be984
