GCA_000239035.2#1#AHAS01000016_tRNA1_Ala	35318	35391
GCA_000239035.2#1#AHAS01000016_tRNA2_Met	81492	81566
GCA_000239035.2#1#AHAS01000016_tRNA3_Trp	490317	490390
GCA_000239035.2#1#AHAS01000016_tRNA4_Met	492220	492296
GCA_000239035.2#1#AHAS01000016_tRNA5_Thr	492334	492407
GCA_000239035.2#1#AHAS01000016_tRNA6_Tyr	506881	506964
GCA_000239035.2#1#AHAS01000016_tRNA7_Leu	686379	686464
GCA_000239035.2#1#AHAS01000015_tRNA1_Glu	86407	86482
GCA_000239035.2#1#AHAS01000015_tRNA2_Gln	86578	86650
GCA_000239035.2#1#AHAS01000008_tRNA1_Leu	216033	216119
GCA_000239035.2#1#AHAS01000007_tRNA1_Arg	30	104
GCA_000239035.2#1#AHAS01000007_tRNA2_Gly	26819	26892
GCA_000239035.2#1#AHAS01000006_tRNA1_Gln	187213	187285
GCA_000239035.2#1#AHAS01000006_tRNA2_Arg	464303	464376
GCA_000239035.2#1#AHAS01000006_tRNA3_Lys	577714	577789
GCA_000239035.2#1#AHAS01000006_tRNA4_His	580646	580721
GCA_000239035.2#1#AHAS01000005_tRNA1_Arg	30	103
GCA_000239035.2#1#AHAS01000004_tRNA1_Ser	42144	42232
GCA_000239035.2#1#AHAS01000004_tRNA2_Pro	162863	162937
GCA_000239035.2#1#AHAS01000004_tRNA3_Lys	492308	492383
