seq_name	n_genes	n_uscg	n_plasmid_hallmarks	n_virus_hallmarks	genetic_code	strand_switch_rate	coding_density	no_rbs_freq	sd_bacteroidetes_rbs_freq	sd_canonical_rbs_freq	tatata_rbs_freq	cc_marker_freq	cp_marker_freq	cv_marker_freq	pc_marker_freq	pp_marker_freq	pv_marker_freq	vc_marker_freq	vp_marker_freq	vv_marker_freq	c_marker_freq	p_marker_freq	v_marker_freq	median_c_spm	median_p_spm	median_v_spm	v_vs_c_score_logistic	v_vs_p_score_logistic	p_vs_c_score_logistic	gv_marker_freq	marker_enrichment_c	marker_enrichment_p	marker_enrichment_v
GCA_001213305.1#1#CSUC01000001	2089	27	1	1	11	0.3386	0.9199	0.2551	0.0000	0.7449	0.0000	0.0507	0.2978	0.0211	0.0670	0.0062	0.0019	0.0105	0.0101	0.0067	0.3696	0.0752	0.0273	0.7645	0.6236	0.0000	0.0000	0.0000	0.0000	0.0000	182.1406	-469.2918	-2465.4891
GCA_001213305.1#1#CSUC01000002	1880	45	4	11	11	0.3390	0.9238	0.2415	0.0000	0.7585	0.0000	0.0601	0.3053	0.0181	0.0612	0.0069	0.0021	0.0096	0.0080	0.0335	0.3835	0.0702	0.0511	0.7419	0.6405	0.0000	0.0000	0.0000	0.0000	0.0011	52.4207	-451.7377	-2194.3812
GCA_001213305.1#1#CSUC01000003	297	2	0	2	11	0.3818	0.9172	0.3030	0.0000	0.6970	0.0000	0.0471	0.2929	0.0000	0.0539	0.0000	0.0034	0.0101	0.0135	0.0202	0.3401	0.0572	0.0438	0.7539	0.6252	0.0000	0.0000	0.0000	0.0000	0.0000	7.7833	-56.1746	-314.6781
GCA_001213305.1#1#CSUC01000004	248	0	0	0	11	0.3441	0.9106	0.2218	0.0000	0.7782	0.0000	0.0323	0.3589	0.0000	0.0766	0.0040	0.0081	0.0000	0.0081	0.0000	0.3911	0.0887	0.0081	0.6623	0.7487	0.0000	0.0000	0.0000	0.1935	0.0000	-4.3992	-7.0452	-343.9132
GCA_001213305.1#1#CSUC01000005	225	1	0	0	11	0.3795	0.9321	0.2222	0.0000	0.7778	0.0000	0.0578	0.2578	0.0133	0.0622	0.0089	0.0044	0.0133	0.0000	0.0000	0.3289	0.0756	0.0133	0.7620	0.6406	0.0000	0.0000	0.0000	0.0000	0.0000	17.0966	-36.0802	-243.1249
GCA_001213305.1#1#CSUC01000006	1	0	0	0	11	0.0000	0.9965	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000
GCA_001213305.1#1#CSUC01000007	1	0	0	0	11	0.0000	0.6143	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	1.0000	0.0000	0.5000	0.2975	0.7025	0.0000	-1.7183	1.7183	-1.7183
GCA_001213305.1#1#CSUC01000008	1	0	0	0	11	0.0000	0.9880	1.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.6417	0.7670	0.0000	0.3894	0.3597	0.5317	0.0000	-0.2536	0.2536	-3.0906
GCA_001213305.1#1#CSUC01000009	1	0	0	0	11	0.0000	0.9924	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000
GCA_001213305.1#1#CSUC01000010	2	0	0	0	11	0.0000	0.9350	0.5000	0.0000	0.5000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000
GCA_001213305.1#1#CSUC01000011	1	0	0	0	11	0.0000	0.3597	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000
GCA_001213305.1#1#CSUC01000012	1	0	0	0	11	0.0000	0.9939	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000
GCA_001213305.1#1#CSUC01000013	1	0	0	0	11	0.0000	0.9939	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5000	0.5000	0.5000	0.0000	0.0000	0.0000	0.0000
