seq_name	chromosome_score	plasmid_score	virus_score
GCA_001213305.1#1#CSUC01000001	0.9841	0.0152	0.0008
GCA_001213305.1#1#CSUC01000002	0.9884	0.0110	0.0007
GCA_001213305.1#1#CSUC01000003	0.9792	0.0196	0.0012
GCA_001213305.1#1#CSUC01000004	0.9636	0.0353	0.0011
GCA_001213305.1#1#CSUC01000005	0.9918	0.0077	0.0004
GCA_001213305.1#1#CSUC01000006	0.5002	0.1118	0.3880
GCA_001213305.1#1#CSUC01000007	0.0229	0.9691	0.0079
GCA_001213305.1#1#CSUC01000008	0.7335	0.2398	0.0266
GCA_001213305.1#1#CSUC01000009	0.5344	0.1169	0.3487
GCA_001213305.1#1#CSUC01000010	0.5929	0.1742	0.2329
GCA_001213305.1#1#CSUC01000011	0.5173	0.1753	0.3074
GCA_001213305.1#1#CSUC01000012	0.5270	0.1140	0.3590
GCA_001213305.1#1#CSUC01000013	0.5270	0.1140	0.3590
