GCA_020731585.1#1#JAJFOG010000001_tRNA1_Trp	693184	693257
GCA_020731585.1#1#JAJFOG010000001_tRNA2_Met	695054	695128
GCA_020731585.1#1#JAJFOG010000001_tRNA3_Thr	695166	695239
GCA_020731585.1#1#JAJFOG010000001_tRNA4_Tyr	905018	905102
GCA_020731585.1#1#JAJFOG010000001_tRNA5_Leu	2028550	2028633
GCA_020731585.1#1#JAJFOG010000001_tRNA6_Ala	2076410	2076483
GCA_020731585.1#1#JAJFOG010000001_tRNA7_Ile	2076630	2076704
GCA_020731585.1#1#JAJFOG010000001_tRNA8_Ser	2719662	2719748
GCA_020731585.1#1#JAJFOG010000001_tRNA9_Pro	2800298	2800372
GCA_020731585.1#1#JAJFOG010000001_tRNA10_???	3113720	3113812
GCA_020731585.1#1#JAJFOG010000001_tRNA11_Thr	3131505	3131579
GCA_020731585.1#1#JAJFOG010000001_tRNA12_Lys	3234834	3234907
GCA_020731585.1#1#JAJFOG010000001_tRNA13_Arg	3383483	3383556
GCA_020731585.1#1#JAJFOG010000001_tRNA14_Gln	3561714	3561786
GCA_020731585.1#1#JAJFOG010000001_tRNA15_Val	4570444	4570518
GCA_020731585.1#1#JAJFOG010000001_tRNA16_Cys	4570530	4570603
GCA_020731585.1#1#JAJFOG010000001_tRNA17_Gly	4570631	4570704
GCA_020731585.1#1#JAJFOG010000001_tRNA18_Leu	5001782	5001858
GCA_020731585.1#1#JAJFOG010000001_tRNA19_Pro	5475448	5475522
GCA_020731585.1#1#JAJFOG010000001_tRNA20_Cys	5558549	5558620
GCA_020731585.1#1#JAJFOG010000001_tRNA21_Val	6088314	6088386
GCA_020731585.1#1#JAJFOG010000001_tRNA22_Met	6213095	6213169
GCA_020731585.1#1#JAJFOG010000001_tRNA23_Asn	6241485	6241558
GCA_020731585.1#1#JAJFOG010000001_tRNA24_Pro	6443464	6443538
GCA_020731585.1#1#JAJFOG010000001_tRNA25_Leu	6669740	6669826
