seq_name	n_genes_with_taxonomy	agreement	taxid	lineage
GCA_001583545.1#1#LNAV01000102	1	1.0000	11688	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Kyanoviridae
GCA_001583545.1#1#LNAV01000047	5	1.0000	1246	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
GCA_001583545.1#1#LNAV01000091	5	1.0000	1246	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
GCA_001583545.1#1#LNAV01000092	2	1.0000	1246	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
GCA_001583545.1#1#LNAV01000147	3	1.0000	1246	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
GCA_001583545.1#1#LNAV01000133	5	1.0000	1246	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
GCA_001583545.1#1#LNAV01000113	2	1.0000	1246	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
GCA_001583545.1#1#LNAV01000140	1	1.0000	1246	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
GCA_001583545.1#1#LNAV01000099	4	1.0000	1246	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
GCA_001583545.1#1#LNAV01000146	5	0.9027	1246	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
GCA_001583545.1#1#LNAV01000037	1	1.0000	1246	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
GCA_001583545.1#1#LNAV01000115	7	1.0000	1246	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
GCA_001583545.1#1#LNAV01000158	1	1.0000	1246	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
GCA_001583545.1#1#LNAV01000029	1	1.0000	18026	Viruses;Monodnaviria;;;;;
GCA_001583545.1#1#LNAV01000028	2	1.0000	1246	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
GCA_001583545.1#1#LNAV01000166	1	1.0000	11688	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Kyanoviridae
GCA_001583545.1#1#LNAV01000064	2	0.8731	2627	Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes;;Mamonoviridae
GCA_001583545.1#1#LNAV01000071	2	1.0000	1246	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
GCA_001583545.1#1#LNAV01000001	1	1.0000	1246	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
