cohort_order	rung_n	assembly_id	exact_assembly_accession_version	input_line_number	input_occurrence_id	resolution_status	assembly_status	selection_stratum	stage_b_order	random_key	inclusion_probability	inference_weight	engineering_control_membership	collection_row_sha256	row_sha256
1	250	asm-v1-0ff7aa363314edb290d72eab	GCF_000005845.2	1	occ-v1-407a3ae4947fad192710d6e6	EXACT_VERSION_RESOLVED	current	stage_b_certainty	1	STAGE_B_CERTAINTY	1/1	1/1	accession_exact_revision_ambiguity,assembly_contiguity_single_or_minimum,assembly_size_minimum,prophage_interval_bounded_sentinel_scope,source_contig_role	3e246273a2566fc0cd1954406fee848dad1abd2cc7170d449119f206fc4ad833	f6a0d7a934ac05b75622206c7beafb6bcc16b1166a93b18e6fb3e6850dabe799
2	250	asm-v1-59248433db4b9fdb21544d3a	GCF_000812325.1	2609	occ-v1-1e689503b0ebab065cf5befe	EXACT_VERSION_RESOLVED	current	stage_b_certainty	2	STAGE_B_CERTAINTY	1/1	1/1	prophage_interval_bounded_sentinel_scope,source_contig_role	e50806635f89f61ee4da59669ac4a9738f87826cc3cb76a3bfce6255edbd3761	1842814478187a937c0d877ec14a208f2534c8a8de4eb676121903a64175c988
3	250	asm-v1-41a502eb976b3e61574ad8c6	GCF_002302315.1	6520	occ-v1-b85a853ae914b114e287ece3	EXACT_VERSION_RESOLVED	current	stage_b_certainty	3	STAGE_B_CERTAINTY	1/1	1/1	prophage_interval_bounded_sentinel_scope	bae0b9cf8be0452ee9494556284abe92a8f4b5731074741419ae5907daa353ab	a67ea3849fa46d3e377ea35d74fd6905f10a83b8a65a7b2be2afa5b36ee7a8f5
4	250	asm-v1-f82a0d4920abbc2d92dcaada	GCF_004664255.1	13039	occ-v1-323585934c2f7be78c5a370d	EXACT_VERSION_RESOLVED	current	stage_b_certainty	4	STAGE_B_CERTAINTY	1/1	1/1	prophage_interval_bounded_sentinel_scope	9dfa087e927128511bc0e55717ac36537799e381221b133c25927c34981e6914	573ade82bfc2c7de6f9fddc7dcbadd49c467d1428f77599c5ba9c4205cac2b00
5	250	asm-v1-7d223c403273bacb796a6439	GCF_015644385.1	19558	occ-v1-b7a5d14de386c381198be442	EXACT_VERSION_RESOLVED	current	stage_b_certainty	5	STAGE_B_CERTAINTY	1/1	1/1	prophage_interval_bounded_sentinel_scope	1723803ae21f96d18ddda809d033d8e7374a3c5de88be2d624d62d58dd90f9cf	49d47dcc1602925052a2438eb9120f14f9f12e9c8c0ee199dcb60ed269743044
6	250	asm-v1-7f371c333ee496e64e13e7df	GCF_020829045.1	23469	occ-v1-5b60784ab03121fe1814c726	EXACT_VERSION_RESOLVED	current	stage_b_certainty	6	STAGE_B_CERTAINTY	1/1	1/1	prophage_interval_bounded_sentinel_scope	4a0a479f7a780e82b3b72a3f421aee26085976561ed3dd6ac343c6561f5bf056	0c91d315e252e44e380607cb36a61388c831ba595bc56077531bb82120bb6669
7	250	asm-v1-f12f2846b4339fa21373d4d3	GCF_921380995.1	26077	occ-v1-dd3066d7889d096688487ef9	EXACT_VERSION_RESOLVED	current	stage_b_certainty	7	STAGE_B_CERTAINTY	1/1	1/1	prophage_interval_bounded_sentinel_scope	b9e8dc3f20d9f5349cde4c09a90df32429c74f3b08a2387336441f158e9e902b	88d45247e9036e69f175c0ec4e22325d6b6ee6b351d6784ec922182d3106ac34
8	250	asm-v1-2509fb2e423fed91316b5243	GCF_000167895.3	80	occ-v1-b391fbe177a99da3a58b5152	EXACT_VERSION_VALID_METADATA_UNAVAILABLE	METADATA_UNAVAILABLE	stage_b_certainty	8	STAGE_B_CERTAINTY	1/1	1/1	accession_exact_revision_ambiguity,assembly_contiguity_maximum,assembly_size_maximum,prophage_interval_bounded_sentinel_scope	839c210463df3c723e5e5f9c74168507ad952f6f4758fccf2cf4a877cb2bd285	2f6315501a4a230f18886d7324264b0fb214565f17e59c2ae27a1f042f3036dc
9	250	asm-v1-f932ca427ea3912c33759383	GCF_001881595.4	4531	occ-v1-bf5407c5824cb46f9619b1cb	EXACT_VERSION_RESOLVED	current	stage_b_certainty	9	STAGE_B_CERTAINTY	1/1	1/1	accession_exact_revision_ambiguity,prophage_interval_bounded_sentinel_scope	c73d392ca0003c3909cd829c8ae9f0b586962c10a352aac6f0f4b643f593891f	7253faae14e2c92a98b4dba2ac99ed0ec80f2bb4f99d10bdd36b56a04b40bd64
10	250	asm-v1-02150e6b828e27945ab71fa9	GCF_000498835.2	1506	occ-v1-cd6775a87ea5decc4d7ddde8	EXACT_VERSION_RESOLVED	current	stage_b_certainty	10	STAGE_B_CERTAINTY	1/1	1/1	accession_exact_revision_ambiguity,prophage_interval_bounded_sentinel_scope	1edbcbb286f667684caa6e72c8a43265243a29cbec56c9863869b0bc513773e5	17dc1545c3a522f26ea96e4a91236f3d31835fd77a3a672805514c2888e3c519
11	250	asm-v1-32657c3828727c905b63ff98	GCF_015548345.1	19468	occ-v1-d0c9aa25085e954fe0b4e5d5	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	0000c1a73e6d1d3dea19b9241476283348897c7852eadc430b7c2e5288e29173	240/25353	25353/240	.	c7ca5bff242aa9842a61d09ce6892794e4e80ce9922268b224f83b2e672b7ece	102f5c253aa7f30496d39c0d4a37bdf6b32e801d0334ea84e6ad488bf90db679
12	250	asm-v1-4ece359b58a18776b323b359	GCF_019926545.1	22597	occ-v1-b42edf0b36328f865ffde44a	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	0000deb14c5ec29607387a5b389b3a9408062b9d9d0fa1a418621a2acefd582b	240/25353	25353/240	.	6e540f4c6503eb493655cf220c6e624bacd625a71d9cff1d64006a88b83d8318	e5859f3fe4fecf2b7c69278986339427f846656c265139ace54231fc86871832
13	250	asm-v1-3747cc3492718981db97affc	GCF_001614385.1	4013	occ-v1-12e2151873e26c89fdcffaa0	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	0000f9a5c830842f635152cbf40e8017428cda7479b2230fb56ae8204c5e1a14	240/25353	25353/240	.	95f73f989c68c2fce3f92c400cb80cf1432bb1ceb3128a144bc83cbb6fe55205	1b1251652aefe301920dd7665649711c1ddbd597aeebf617226015b9fbb6b09d
14	250	asm-v1-719530b887dfd205060a628f	GCF_015551035.1	19473	occ-v1-733cdab402c1dd03f6319c23	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	000854e13ff7d7e1b6de3038dec65113d713f9ce4f130e117db24e1ca52ec07c	240/25353	25353/240	.	7729d75dc7e7987075ef36e4437bb05e17ea7a1e0993b6a73a47c3cb6dd1be9d	37f1d56d9628d08e0c9fdfa2526e6466dcee3bc86e96c3f892aa64bb15087c46
15	250	asm-v1-c27bf914b89e27d0dc27992c	GCF_021354235.1	23939	occ-v1-1438d052a5f71b4e17eff7ea	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	0009103ff11ad1149bc2ad61f5372778b45d22150b6d677b57022696e2bcf43f	240/25353	25353/240	.	f6e5b0aeed8d9981720fa1b572c260aa6375696e33281d18a8159957f5073480	57a8c9c6c593795adfad6b3c255bc5725957525e545d98d83767baad5605e34d
16	250	asm-v1-929d3c84ca2e4a11e790b999	GCF_002485085.1	7465	occ-v1-800294f674e4944a7c37bf66	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	000e6235258c087c744da86341a34ecb21e213d6775e5f2485c4884826a8e99d	240/25353	25353/240	.	e85306c7d40349fe0eb80a71a74c8c8c40f1f1f86293ab5190c1de80c4b928d0	b39754af5842413339816e6a290efbcbe97c9bd2687ed41e38e49abb38de13ce
17	250	asm-v1-331be33613f5ee0144844f5c	GCF_014712315.1	18876	occ-v1-d6e6274742dbf6d23040e1d9	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	000ebf05358c01dabd7b19145ffe23ccd94d454eed6d3d634a5c8b69113f16d4	240/25353	25353/240	.	c777f3dba6e4676812184ed18a35ae8a93559797a59761a3f772bb8a10441791	21d4a2bc4a202dff1eaca45c8133dd20fac5baccb79e9686a6a98973879077e9
18	250	asm-v1-f36d786b0ab3775223cf3d16	GCF_019120745.1	21756	occ-v1-f8608df19bd1df42cdb95daa	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	0012c5b5b7a48e1a2a63fa352be09c98faf589d999dd39beeca318cddbaf6438	240/25353	25353/240	.	249f6d3f8e521378fa51865e423aacdcd7c0d7e432a507e2602fffee82fd15f5	3ac1c8702f5fe9e6f92475b2ae9f3c75a1d9fda07222d4fd7f09f2dacbdc6a99
19	250	asm-v1-b7796a1fc230ab9bd7633b94	GCF_006350715.1	15345	occ-v1-9916a3f03fd073df22c99c32	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	0014655bbd24999bf489f224f1389375dbe7193b0e6fcd1b3a179fa767caa1d2	240/25353	25353/240	.	f238ccd6e6e5f36b24b7b67715e4eaf6b730b8c16488ff4cf2f68c745dade665	699935ec49a7ae4e827f9be44d78c3b3fd1adc6412d20bd77dc155787d994aea
20	250	asm-v1-97a929e91ce540241ff20371	GCF_002522525.1	8212	occ-v1-5716c4ca68e7339791659475	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	0014b200b2ef2e412ff3767828f7915cd4c5df8193b665480c01b3b8f111018a	240/25353	25353/240	.	49c6d48dab41949bce4563a18a8aac8389328c69a36cff5ca69bb02e050a1f34	bd8faad573ff11831be75a9a8c430ec13c7262d2041653706c7e4364e7b1f4c5
21	250	asm-v1-0bdf5b05c650023990a68d2d	GCF_018790115.1	21556	occ-v1-22620663e12ddee5a8eee893	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	001502eef44124a6b85f16b91026acd65fe2893fc0b146b1a169873af0bbc7f2	240/25353	25353/240	.	903ac68ca74d94c037deed988bbffa2e9aa0ce4f2de3a8f41f5bfc66ac3d09c3	9bd0daad7b439ee391975801c2b1cc5846f21a3fd46f11a27ecb98074335219b
22	250	asm-v1-1e2c548ce4eee4bbd7812d4a	GCF_002442365.1	6690	occ-v1-9f375f0d6dbd43d1938c42d6	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	0015b2e44968a26f229daea5f5fcbcf98a10136c5ae005f48b62859e6cc72cc5	240/25353	25353/240	.	e066c4268d74f563f01591734b74270304f5034969029262c1885adee0e1757e	7235f5d7d7036fb4a673be0467f8815da8a430d0496244109877220fc3e96766
23	250	asm-v1-faddf0606460939e473ac2c5	GCF_005885955.1	14805	occ-v1-8be38d36a99ca529af337d89	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	00163c6c2427e4359d9a23803605eece60a823bcabe411d7a3f0a07c20774050	240/25353	25353/240	.	223ce2fa3743ee07357e7dcfd79ac9b7d588da8db4ad4b5755c70584b19f08f9	38bb302d0396d7bcbccca985cbcf4296ad7fb9336f1819837c54f5388a71b557
24	250	asm-v1-90293848c2351417f7baaa74	GCF_002513075.1	7747	occ-v1-837b025b489e8d5bc0c3c44a	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	001647f12fe2ff9af86a0c9c5428cbc7f490ac36b077ccaca633a45ed2c07189	240/25353	25353/240	.	0c00b2fbf2ea51e69350fa51efba55b1a8e31e1bab3859bdbc2cf252c9ba5f31	7b77321e68095b5c537517d6d1f3903121b24aceb058ed583ab481dfef832699
25	250	asm-v1-3b4342f24d54b3c1a9b84d48	GCF_902810185.1	25435	occ-v1-91c1ea61153440814f3167a8	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	0019b299e5f2608dc022a0f631c496f15d8bc0eaa581665a2e536b855f934c21	240/25353	25353/240	.	6e94aab97b62bc66a74df475b0d78cf97ae1814aa55bbe419f9c6ee7a8ebfeec	75b3d896b6bbd2e842f243c7b8be761c0baf408f4f611d06fa8ea0e8b76d6922
26	250	asm-v1-0beedef08535e20c4790e6bb	GCF_005043025.1	13558	occ-v1-3d14671e582a529b71f2b16c	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	0024ed29c76b0df51696c6838dfd80e76fd18afa6b64706abcb45a2268fc5caf	240/25353	25353/240	.	5fe16931cff4ec3fe5c5a05d07af13536178f105ddca3dda28cd07412a2c1498	f642b0f910b25472ba4d39daa9c95f03cae43701d4363eb25e100e564ab62f6f
27	250	asm-v1-48766683d6315460b4013353	GCF_017595115.1	20944	occ-v1-b8bfb356e96f507a3c42d0fc	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	0029422e84638d16abf17cf201e50c0320246397570f4bc3d63a5c978b62ce65	240/25353	25353/240	.	b7ffaf5e597e66366be4952caaaa575f6cf576f6aff8c332734ee9bc94855ed8	401051ae10624ddfd661b4ad69133ea6265123a535b33dbaa2b45eea6cc739f7
28	250	asm-v1-b71c4a8ef90f7c49f5f8d546	GCF_014528625.1	18814	occ-v1-0a6f81f387bdc814648ddb05	EXACT_VERSION_RESOLVED	current	main_phage_blind_srs	.	0030c9bc766e23d533a9eade624c02ad9a5d4893d1b404dae10bba9f9e5c32b6	240/25353	25353/240	.	2f794330d688f9d086937b9882eae9529ed3f0c69f24c628d748572c286c679e	7d51cb71888c03d57a05cffac40c8c95f5fd0f9d314df0d7ef73ecc96bb96b50
